entry_date,exit_date,holding_days,trade_return,win
2025-05-08,2025-05-14,6,0.040677970774956496,True
2025-04-16,2025-04-24,8,0.038005889742330545,True
2024-05-01,2024-05-10,9,0.030789605551153176,True
2025-10-09,2025-10-21,12,0.02746370672518883,True
2024-11-15,2024-12-03,18,0.026282257499965267,True
2024-02-16,2024-02-23,7,0.021813588171553544,True
2025-06-17,2025-06-25,8,0.01869714296074121,True
2025-05-28,2025-06-11,14,0.018658269900107216,True
2025-07-02,2025-08-08,37,0.018424064410658136,True
2025-03-14,2025-03-25,11,0.01719559631615608,True
2026-04-30,2026-05-07,7,0.014659282920048922,True
2025-05-21,2025-05-27,6,0.013315901786715933,True
2024-03-05,2024-03-12,7,0.013284342304623609,True
2024-05-31,2024-06-05,5,0.012509488641242461,True
2026-04-14,2026-04-20,6,0.012037583833121479,True
2026-02-12,2026-02-20,8,0.010759587565047468,True
2025-01-17,2025-01-23,6,0.010604621524640478,True
2026-05-26,2026-06-01,6,0.010261301627160213,True
2026-06-23,2026-06-29,6,0.010077887000220942,True
2024-05-13,2024-05-16,3,0.009795038447756754,True
