month,strategy_return,market_return,trades,vs_spy
2024-01,0.007602291248850701,0.035015291740332355,10,-0.027413000491481654
2024-02,0.044691238833276525,0.04834426033448813,9,-0.0036530215012116063
2024-03,0.009403568585976574,0.021317040029342316,5,-0.011913471443365742
2024-04,-0.01821045926736964,-0.04176882572121887,10,0.023558366453849233
2024-05,0.03931030345614195,0.054861741186315705,7,-0.015551437730173756
2024-06,0.024499284264595245,0.036565427178575804,7,-0.01206614291398056
2024-07,-0.030809301454840177,-0.004272575955887148,4,-0.02653672549895303
2024-08,0.0018064457460225114,0.016703156807579056,6,-0.014896711061556545
2024-09,0.019110135053874266,0.0331185779062213,4,-0.014008442852347036
2024-10,-0.020442753737749286,0.004255900898449738,4,-0.024698654636199024
2024-11,0.06503691929340105,0.057071281999146795,3,0.007965637294254257
2024-12,-0.04584530673510823,-0.028199856482347574,10,-0.017645450252760653
2025-01,0.03585366581193439,0.022458366140112096,8,0.013395299671822292
2025-02,-0.006537526154181017,-0.02342045922236935,5,0.016882933068188333
2025-03,0.033807963920997164,-0.03616567914439495,3,0.06997364306539211
2025-04,0.15803861235725258,-0.004456707663346049,8,0.16249532002059863
2025-05,0.060413601808450235,0.061310598309392006,6,-0.0008969965009417713
2025-06,0.02892789575029231,0.04515847623141167,6,-0.01623058048111936
2025-07,0.0010487573165909314,0.006589281162878935,2,-0.0055405238462880035
2025-08,0.03397629678591385,0.029836830716049922,4,0.0041394660698639285
2025-09,0.021338645988676186,0.046907131836382954,6,-0.025568485847706768
2025-10,0.010993705869026149,0.022275392804350647,8,-0.011281686935324498
2025-11,0.010989251004604794,-0.0044926763683477144,6,0.015481927372952509
2025-12,-0.004872834440025731,0.007230438531412586,3,-0.012103272971438317
2026-01,0.008891085228003526,0.01791647266435592,7,-0.009025387436352394
2026-02,-0.0002708424939344978,-0.012985107339671509,8,0.012714264845737011
2026-03,-0.02984566225401608,-0.04276133733671672,7,0.01291567508270064
2026-04,0.051221762354369815,0.09982605310899562,13,-0.0486042907546258
2026-05,0.017614036086327056,0.052577485036245486,8,-0.03496344894991843
2026-06,0.0033433952394907873,-0.01431528146535177,13,0.017658676704842557
2026-07,-0.006220413841489525,0.01597024912649081,4,-0.022190662967980335
2026-08,0.0,0.01701270333942473,0,-0.01701270333942473
