year,return,max_drawdown,sharpe,days,time_in_market
2024,0.019799476176841635,-0.05154749544594728,0.2760109586815406,252,0.4087301587301587
2025,0.4174749621062115,-0.05716861140575946,2.2202743654634314,250,0.568
2026,0.017502267029930962,-0.047462916993781024,0.43243108066361524,152,0.45394736842105265
