Date,Open,High,Low,Close,cash,shares,position,market_value,equity,daily_return,signal,executed_position
2024-01-02,458.3335624378489,459.7993540123723,456.7124526493962,458.8092041015625,10000.0,0.0,0,0.0,10000.0,0.0,0,0
2024-01-03,456.6542157231931,457.3919698393569,454.4604162904711,455.062255859375,10000.0,0.0,0,0.0,10000.0,0.0,0,0
2024-01-04,454.5865557790852,457.1686653982138,453.3731600721968,453.596435546875,10000.0,0.0,0,0.0,10000.0,0.0,0,0
2024-01-05,453.8002817612887,456.6639075045455,452.7713245626224,454.21771240234375,10000.0,0.0,0,0.0,10000.0,0.0,0,0
2024-01-08,454.7127531652984,460.8476889622242,454.5865552720958,460.70208740234375,10000.0,0.0,0,0.0,10000.0,0.0,1,0
2024-01-09,458.0520544271024,461.02244496424106,457.54729244084217,460.0032043457031,-1.8189894035458565e-12,21.80976462925788,1,10032.561615484201,10032.5616154842,0.0032561615484199002,0,1
2024-01-10,460.27499186871785,463.4686578138975,459.9934757568045,462.6047058105469,10028.45325777524,0.0,0,0.0,10028.45325777524,-0.00040950236504089244,1,0
2024-01-11,463.6045580641455,464.119036700077,458.4306513904914,462.40087890625,0.0,21.609865879403493,1,9992.420975682358,9992.420975682358,-0.0035930049397143726,0,1
2024-01-12,463.8472262405501,464.5849803515552,461.3136700813151,462.72119140625,10013.655177163111,0.0,0,0.0,10013.655177163111,0.0021250307140210367,0,0
2024-01-16,461.3427224116192,462.6531659566437,459.2071343123152,461.0223693847656,10013.655177163111,0.0,0,0.0,10013.655177163111,0.0,0,0
2024-01-17,458.0035703058881,458.94516670999695,456.1106608508071,458.4598083496094,10013.655177163111,0.0,0,0.0,10013.655177163111,0.0,0,0
2024-01-18,460.129384955841,463.09005873569527,458.5859491170127,462.5367431640625,10013.655177163111,0.0,0,0.0,10013.655177163111,0.0,1,0
2024-01-19,463.6628619602822,468.5844031225256,462.5853805588044,468.3028869628906,-1.8189894035458565e-12,21.57526480540198,1,10103.758795358595,10103.758795358593,0.008998074789011046,0,1
2024-01-22,469.83659824827777,471.0111571575836,468.64260604571103,469.2929992675781,10126.714707665635,0.0,0,0.0,10126.714707665635,0.0022720170554335617,1,0
2024-01-23,469.8365966379768,470.9043613024555,468.74939868030367,470.6616821289063,0.0,21.53215746777799,1,10134.36145364888,10134.36145364888,0.0007551062910320372,0,1
2024-01-24,473.525295727068,474.4571754342008,470.6811029978881,471.1761779785156,10185.827760344106,0.0,0,0.0,10185.827760344106,0.005078396594656143,0,0
2024-01-25,473.30196574868353,474.0105994997861,471.1761237432126,473.7388000488281,10185.827760344106,0.0,0,0.0,10185.827760344106,0.0,0,0
2024-01-26,473.311776348533,474.79697179035713,472.292535611096,473.1370544433594,10185.827760344106,0.0,0,0.0,10185.827760344106,0.0,0,0
2024-01-29,473.4475958586122,477.029542315143,472.9039969579279,476.8839111328125,10185.827760344106,0.0,0,0.0,10185.827760344106,0.0,1,0
2024-01-30,476.19475312019154,477.2237103899132,475.7579187820987,476.5151062011719,0.0,21.368672166567354,1,10182.495086829867,10182.495086829867,-0.00032718730304992505,0,1
2024-01-31,474.3115894395865,474.7581108271003,468.72025176527393,468.73968505859375,10125.275984530692,0.0,0,0.0,10125.275984530692,-0.005619359676704683,0,0
2024-02-01,470.43839078044346,474.9036930669608,469.6326794127357,474.8745727539063,10125.275984530692,0.0,0,0.0,10125.275984530692,0.0,1,0
2024-02-02,475.311399216602,481.5239798187347,474.971642466127,479.873779296875,0.0,21.28111868159539,1,10212.25084940251,10212.25084940251,0.008589875970264726,1,1
2024-02-05,479.2428126687566,479.90289286822576,475.8744247735656,478.12646484375,0.0,21.28111868159539,1,10175.06604315149,10175.06604315149,-0.003641195932157837,0,1
2024-02-06,479.0680364458104,479.8446274850516,477.64108188661896,479.51458740234375,10184.91118519793,0.0,0,0.0,10184.91118519793,0.0009675752476385746,0,0
