Date,Open,High,Low,Close,Volume,return_1d,return_5d,return_20d,sma_10,sma_50,distance_sma10,distance_sma50,volatility_10d,volatility_20d,volume_change,volume_ratio,daily_range,target
2015-03-16,170.74515462838175,172.3806568570192,170.0430385291803,172.289794921875,136099200,0.013360415669342762,0.0010558302727790014,-0.005719988858891467,171.70002288818358,170.15884765625,0.0034348978163822874,0.012523282185889384,0.009845059097474214,0.00724201715732716,-0.16200698352142617,1.2854075306529233,0.013567944223851982,0
2015-03-17,171.55463715174756,172.15762309564545,170.96816239253445,171.7776641845703,94510400,-0.0029724960641860365,0.014537903792109619,-0.010232629538561078,171.43900451660156,170.20064361572267,0.0019753945079397095,0.009265655730469557,0.0098192497810113,0.0072527180062635435,-0.305577108462063,0.885282744820132,0.006924420056340697,1
2015-03-18,171.30684628378546,174.51178095757123,170.67081270488325,173.84271240234375,228808500,0.012021634055721098,0.029144513205900058,0.0015707129851907364,171.4580062866211,170.34503173828125,0.013908397556753327,0.0205329185616423,0.01062319065264308,0.007774797140411964,1.4209875315309213,2.0041898098705047,0.022094502551239542,0
2015-03-19,173.42966934545456,173.850931375652,172.66147081514595,173.04969787597656,117917300,-0.004561678286126969,0.011588370669803227,-0.0022859216031996255,171.3787048339844,170.5049462890625,0.009750295660192254,0.014924796273064533,0.010718076061058894,0.007843488827754949,-0.4846463308836866,1.0210366330823184,0.006873520006712412,1
2015-03-20,173.9964219067773,175.08332706439776,173.813886863184,174.57720947265625,177715100,0.008827011057681577,0.026814348683999123,0.0005170885387977275,171.6966537475586,170.6542770385742,0.016777005621395835,0.02298760102681352,0.009889173035695569,0.007983125691285129,0.5071164282085834,1.5146763674993242,0.007271511585322935,0
2015-03-23,174.5854719915161,175.15796701554652,174.23699951171875,174.23699951171875,71784500,-0.0019487650304709225,0.011301914839046079,-0.0012908496088924748,171.9095458984375,170.73749572753906,0.013538827068138914,0.020496398692435802,0.009922063416076949,0.007995698664774094,-0.596069776850701,0.6125091650900536,0.005285717192150259,0
2015-03-24,174.11257043384242,174.5688953590549,173.191602819688,173.2579803466797,77805300,-0.005618893620658483,0.008617628893351492,-0.009715565120424374,172.30372772216796,170.82839172363282,0.005538200694360063,0.014222393587697502,0.00827433176210915,0.008059118123340927,0.08387325954767388,0.6623752554823569,0.007949374318060297,0
2015-03-25,173.46541912579568,173.69773415857858,170.6776260721813,170.71910095214844,159521700,-0.01465375152966164,-0.01796803217707499,-0.02339710120841032,172.48367462158203,170.8949429321289,-0.010230380778383563,-0.0010289478258599383,0.009819255435005789,0.008662985858600964,1.0502677838142134,1.309840912517157,0.017690510725239764,0
2015-03-26,170.05537123840853,171.2252389858429,169.3584133966899,170.3125762939453,153067200,-0.002381248822983628,-0.01581696827921031,-0.024570558152054223,172.4082015991211,170.96278106689454,-0.012155020966163055,-0.003803194876052074,0.008958606248882301,0.00866738720036153,-0.04046157983521992,1.216696768016068,0.010961172860957782,1
2015-03-27,170.19641226043072,170.87675986583287,170.00557209213895,170.70252990722656,118939000,0.0022896348688203894,-0.022194647154310077,-0.01899545422697968,172.47662658691405,171.05857177734376,-0.010286012167529779,-0.0020814032668332594,0.008754005001864617,0.008684891894979053,-0.2229622022222919,0.9413551916780779,0.005103543422393282,1
