date,timestamp,model_action,market_price,position,position_size,cash,entry_date,entry_price,current_equity,realized_pnl,unrealized_pnl,cumulative_return,maximum_drawdown,trade_count,winning_trades,losing_trades,win_rate,time_in_market,transaction_cost,transaction_costs
2015-10-16,2015-10-16,0,170.35462951660156,0,0.0,10.0,,,10.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2015-10-19,2015-10-19,0,170.43841552734375,0,0.0,10.0,,,10.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2015-10-20,2015-10-20,0,170.22044372558594,0,0.0,10.0,,,10.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2015-10-21,2015-10-21,0,169.16453552246094,0,0.0,10.0,,,10.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2015-10-22,2015-10-22,0,172.0223388671875,0,0.0,10.0,,,10.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2015-10-23,2015-10-23,0,173.9080047607422,0,0.0,10.0,,,10.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2015-10-26,2015-10-26,0,173.4805908203125,0,0.0,10.0,,,10.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2015-10-27,2015-10-27,0,173.14532470703125,0,0.0,10.0,,,10.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2015-10-28,2015-10-28,1,175.11480712890625,1,0.05707685525069883,-1.7763568394002505e-15,2015-10-28,175.11480712890625,9.995002498750624,0.0,-0.0049975012493753135,-0.0004997501249375258,-0.0004997501249375258,1,0,0,0.0,0.1111111111111111,0.0049975012493753135,0.0049975012493753135
2015-10-29,2015-10-29,0,175.01426696777344,0,0.0,9.984269350535502,,,9.984269350535502,-0.01573064946449776,0.0,-0.0015730649464498203,-0.0015730649464498203,2,0,1,0.0,0.1,0.004994631991263383,0.009992133240638697
2015-10-30,2015-10-30,0,174.25999450683594,0,0.0,9.984269350535502,,,9.984269350535502,-0.01573064946449776,0.0,-0.0015730649464498203,-0.0015730649464498203,2,0,1,0.0,0.09090909090909091,0.0,0.009992133240638697
2015-11-02,2015-11-02,0,176.3216094970703,0,0.0,9.984269350535502,,,9.984269350535502,-0.01573064946449776,0.0,-0.0015730649464498203,-0.0015730649464498203,2,0,1,0.0,0.08333333333333333,0.0,0.009992133240638697
2015-11-03,2015-11-03,1,176.83287048339844,1,0.05643339772407893,0.0,2015-11-03,176.83287048339844,9.979279710680162,-0.01573064946449776,-0.0049896398553400815,-0.0020720289319837715,-0.0020720289319837715,3,0,1,0.0,0.15384615384615385,0.0049896398553400815,0.014981773095978777
2015-11-04,2015-11-04,0,176.29649353027344,0,0.0,9.944035631686052,,,9.944035631686052,-0.05596436831394769,0.0,-0.005596436831394769,-0.005596436831394769,4,0,2,0.0,0.14285714285714285,0.004974505068377215,0.01995627816435599
2015-11-05,2015-11-05,0,176.1205291748047,0,0.0,9.944035631686052,,,9.944035631686052,-0.05596436831394769,0.0,-0.005596436831394769,-0.005596436831394769,4,0,2,0.0,0.13333333333333333,0.0,0.01995627816435599
2015-11-06,2015-11-06,1,176.02833557128906,1,0.056462876084012896,1.7763568394002505e-15,2015-11-06,176.02833557128906,9.939066098636735,-0.05596436831394769,-0.004969533049318366,-0.006093390136326482,-0.006093390136326482,5,0,2,0.0,0.1875,0.004969533049318366,0.02492581121367436
2015-11-09,2015-11-09,0,174.3856658935547,0,0.0,9.841393086053767,,,9.841393086053767,-0.15860691394623316,0.0,-0.015860691394623316,-0.015860691394623316,6,0,3,0.0,0.17647058823529413,0.004923158122087926,0.029848969335762286
2015-11-10,2015-11-10,0,174.7879638671875,0,0.0,9.841393086053767,,,9.841393086053767,-0.15860691394623316,0.0,-0.015860691394623316,-0.015860691394623316,6,0,3,0.0,0.16666666666666666,0.0,0.029848969335762286
2015-11-11,2015-11-11,1,174.10072326660156,1,0.05649875924735129,0.0,2015-11-11,174.10072326660156,9.836474848629452,-0.15860691394623316,-0.004918237424314726,-0.016352515137054824,-0.016352515137054824,7,0,3,0.0,0.21052631578947367,0.004918237424314726,0.03476720676007701
2015-11-12,2015-11-12,1,171.67031860351562,1,0.05649875924735129,0.0,2015-11-11,174.10072326660156,9.69916000069612,-0.15860691394623316,-0.1422330853576471,-0.030083999930388017,-0.030083999930388017,7,0,3,0.0,0.25,0.0,0.03476720676007701
2015-11-13,2015-11-13,1,169.74278259277344,1,0.05649875924735129,0.0,2015-11-11,174.10072326660156,9.590256607684598,-0.15860691394623316,-0.25113647836916886,-0.04097433923154026,-0.04097433923154026,7,0,3,0.0,0.2857142857142857,0.0,0.03476720676007701
2015-11-16,2015-11-16,1,172.32406616210938,1,0.05649875924735129,0.0,2015-11-11,174.10072326660156,9.736095926617653,-0.15860691394623316,-0.10529715943611416,-0.026390407338234723,-0.04097433923154026,7,0,3,0.0,0.3181818181818182,0.0,0.03476720676007701
2015-11-17,2015-11-17,1,172.19837951660156,1,0.05649875924735129,0.0,2015-11-11,174.10072326660156,9.7289947870925,-0.15860691394623316,-0.11239829896126695,-0.027100521290750024,-0.04097433923154026,7,0,3,0.0,0.34782608695652173,0.0,0.03476720676007701
2015-11-18,2015-11-18,0,174.93045043945312,0,0.0,9.878411727707174,,,9.878411727707174,-0.12158827229282565,0.0,-0.01215882722928252,-0.04097433923154026,8,1,3,0.25,0.3333333333333333,0.004941676702204689,0.0397088834622817
2015-11-19,2015-11-19,1,174.77963256835938,1,0.05649099294421723,0.0,2015-11-19,174.77963256835938,9.873474990212069,-0.12158827229282565,-0.004936737495106034,-0.012652500978793113,-0.04097433923154026,9,1,3,0.25,0.36,0.004936737495106034,0.044645620957387736
2015-11-20,2015-11-20,1,175.4165496826172,1,0.05649099294421723,0.0,2015-11-19,174.77963256835938,9.909455070419659,-0.12158827229282565,0.031043342712484212,-0.009054492958034066,-0.04097433923154026,9,1,3,0.25,0.38461538461538464,0.0,0.044645620957387736
2015-11-23,2015-11-23,1,175.21536254882812,1,0.05649099294421723,0.0,2015-11-19,174.77963256835938,9.898089809464313,-0.12158827229282565,0.019678081757138366,-0.010191019053568673,-0.04097433923154026,9,1,3,0.25,0.4074074074074074,0.0,0.044645620957387736
2015-11-24,2015-11-24,1,175.45004272460938,1,0.05649099294421723,0.0,2015-11-19,174.77963256835938,9.91134712561852,-0.12158827229282565,0.03293539791134459,-0.008865287438148073,-0.04097433923154026,9,1,3,0.25,0.42857142857142855,0.0,0.044645620957387736
2015-11-25,2015-11-25,1,175.42486572265625,1,0.05649099294421723,0.0,2015-11-19,174.77963256835938,9.909924851778829,-0.12158827229282565,0.0315131240716543,-0.009007514822117146,-0.04097433923154026,9,1,3,0.25,0.4482758620689655,0.0,0.044645620957387736
2015-11-27,2015-11-27,1,175.6260223388672,1,0.05649099294421723,0.0,2015-11-19,174.77963256835938,9.921288388765884,-0.12158827229282565,0.04287666105870935,-0.007871161123411574,-0.04097433923154026,9,1,3,0.25,0.4666666666666667,0.0,0.044645620957387736
2015-11-30,2015-11-30,1,174.8969268798828,1,0.05649099294421723,0.0,2015-11-19,174.77963256835938,9.880101062336736,-0.12158827229282565,0.0016893346295617801,-0.01198989376632631,-0.04097433923154026,9,1,3,0.25,0.4838709677419355,0.0,0.044645620957387736
2015-12-01,2015-12-01,0,176.56471252441406,0,0.0,9.96932877144971,,,9.96932877144971,-0.030671228550289698,0.0,-0.0030671228550289698,-0.04097433923154026,10,2,3,0.4,0.46875,0.004987157964707209,0.049632778922094944
