Date,Open,High,Low,Close,Volume,return_1d,return_5d,return_20d,return_60d,sma_10,sma_20,sma_50,sma_100,sma_200,ema_20,ema_50,distance_sma10,distance_sma20,distance_sma50,distance_sma100,distance_sma200,ema20_vs_ema50,momentum_10d,momentum_30d,momentum_90d,rsi_14,volatility_10d,volatility_20d,volatility_60d,atr_14,atr_percent,daily_range,close_position,volume_change,volume_sma20,volume_ratio,volume_momentum_20d,target
2015-01-02,170.47258874432092,170.88559529706598,168.65534982907482,169.6878662109375,121465900,,,,,,,,,,169.6878662109375,169.6878662109375,,,,,,0.0,,,,,,,,,,0.013143223011707596,0.4629608696524935,,,,,0
2015-01-05,168.64703515309722,168.81223519552856,166.31768556571836,166.62330627441406,169632600,-0.018059982749231485,,,,,,,,,169.39600335984005,169.56768738989737,,,,,,-0.0010124808134144292,,,,,,,,,,0.014971192719594031,0.12251538511039266,0.39654503856637957,,,,0
2015-01-06,166.92901130175497,167.4494036720301,164.26099208715965,165.05397033691406,209151400,-0.009418465955269406,,,,,,,,,168.98247640527566,169.39067887801568,,,,,,-0.0024098284241128587,,,,,,,,,,0.01931738799352804,0.24870636315227454,0.23296701223703464,,,,1
2015-01-07,166.3755210016873,167.44934031956146,165.9294795701786,167.1106719970703,125346700,0.012460782712212515,,,,,,,,,168.80420931877993,169.3012668434688,,,,,,-0.002935935057995942,,,,,,,,,,0.00909493529778587,0.7771714787648603,-0.40068916583871783,,,,1
2015-01-08,168.51490105817123,170.2908365016817,168.49838987366132,170.07606506347656,147217800,0.01774508492466742,,,,,,,,,168.92533843732247,169.33165108739067,,,,,,-0.0023995079919141293,,,,,,,,,,0.010539088068338049,0.880179729913346,0.17448484882330373,,,,0
2015-01-09,170.48910371663968,170.50562750822505,168.10192629293343,168.7131805419922,158567300,-0.008013382253262424,-0.005743991545828608,,,,,,,,168.9051329234815,169.30739734051232,,,,,,-0.0023759411777017903,,,,,,,,,,0.014247263951575766,0.25429710020357293,0.07709325910317899,,,,0
2015-01-12,168.84533157044453,169.0022760675028,166.78855452639888,167.39154052734375,144396100,-0.007833650046799256,0.004610605023432246,,,,,,,,168.76098126670647,169.23226570078023,,,,,,-0.0027848379392795275,,,,,,,,,,0.013224811326366317,0.27238565893512906,-0.08937025477510185,,,,0
2015-01-13,168.60573013625051,169.72910805795988,165.6238233987396,166.92066955566406,214553300,-0.002812991446259905,0.011309629298462909,,,,,,,,168.58571348470244,169.14161487156,,,,,,-0.0032866032837612913,,,,,,,,,,0.024594225928690393,0.31589676825355045,0.48586630802355457,,,,0
2015-01-14,164.91351297227266,166.11124206931527,164.0214299016989,165.91299438476562,192991100,-0.0060368507601894494,-0.007166972629525925,,,,,,,,168.331168808518,169.01500230345042,,,,,,-0.004045992874080362,,,,,,,,,,0.012595831781384943,0.9051361225057377,-0.10049810466676579,,,,0
2015-01-15,166.54902209394717,166.86289849504993,164.2774861138506,164.39312744140625,176613900,-0.00916062632101422,-0.03341409398170936,,,167.18833923339844,,,,,167.95611724974546,168.83375230886045,-0.016718939878277106,,,,,-0.0051982204216457495,,,,,,,,,,0.015727010133807593,0.04472838776198018,-0.08485987177647047,,,,1
2015-01-16,164.18661346110187,166.70595572276284,164.0048895862307,166.54901123046875,211879600,0.013114196576319292,-0.012827505856809918,,,166.87445373535155,,,,,167.8221071526715,168.74415461951176,-0.001950223641773996,,,,,-0.00546417426380974,-0.01849781631744296,,,,0.011918279577846339,,,,,0.01621784552532973,0.9418953534260804,0.19967680912997232,,,,1
2015-01-20,167.18503146744484,167.4493616857387,165.3430259480595,166.90419006347656,130991100,0.0021325784547368,-0.0029114402217211843,,,166.9025421142578,,,,,167.73468647751005,168.67199914672608,9.873721501518773e-06,,,,,-0.005557014050688203,0.0016857413007991262,,,,0.010481607316393521,,,,,0.012620029112978604,0.7411753438680245,-0.38176634277202715,,,,1
2015-01-21,166.44163246500446,168.22582370893434,165.97906716560615,167.74673461914062,122942700,0.005048073121133978,0.004948848250342586,,,167.17181854248048,,,,,167.73583391957013,168.63571426329136,0.0034390729350954885,,,,,-0.005336238220073897,0.01631444718797126,,,,0.009990698452208718,,,,,0.013393742348721848,0.786764128047985,-0.061442342266001315,,,,1
2015-01-22,168.49838416512793,170.3734244640465,167.12719965980176,170.24127197265625,174356000,0.014870854918155763,0.026087634690342476,,,167.48487854003906,,,,,167.97444706748308,168.69867731071744,0.016457565940547036,,,,,-0.004293040436235573,0.018733692697021853,,,,0.01030423109158723,,,2.7765796327074344,0.01630967391475671,0.01906837728965129,0.9592904064509807,0.4181891238764075,,,,0
2015-01-23,169.9852312963904,170.24130594621263,169.1757419827697,169.3079071044922,117516800,-0.0054826004138055495,0.0298965032150611,,,167.40806274414064,,,,,168.10144326148395,168.72256867517922,0.011348583390844214,,,,,-0.0036813416164321877,-0.004516555334800776,,,49.14115825162018,0.008852656155031679,,,2.693388096668276,0.01590822391423214,0.006293645593204952,0.12403302488892604,-0.32599509050448505,,,,1
2015-01-26,169.0931802503025,169.79528395996311,168.38280834149393,169.7044219970703,92009700,0.0023419750403825823,0.018945839085379834,,,167.50718688964844,,,,,168.25410790296837,168.7610727270181,0.013117258717199931,,,,,-0.0030040388808726393,0.005875305366739969,,,57.9196317632441,0.008462455484125483,,,2.553552023328994,0.015047056483731917,0.008323151523379702,0.9356718355769224,-0.2170506685001634,,,,0
2015-01-27,167.655921914295,168.6058321756703,166.63992907589042,167.4659423828125,134044600,-0.013190461320427227,0.003365717296385906,,,167.5146270751953,,,,,168.17904452009637,168.71028330175514,-0.0002906295004373449,,,,,-0.0031488227703856397,0.00044447798995306265,,,55.99350868478826,0.00919476346005408,,,2.544700690208241,0.01519533257927321,0.011739121828640134,0.42016989880854383,0.4568529187683472,,,,0
2015-01-28,168.64711530371815,168.7462328554921,165.12830357216745,165.3182830810547,168514300,-0.012824454161840526,-0.014476893059048757,,,167.35438842773436,,,,,167.90659104971144,168.5772636852571,-0.012166429370681797,,,,,-0.003978428768412368,-0.009599688755591917,,,45.566136160151466,0.010050284827205005,,,2.632026354542331,0.0159209635225395,0.021884628946641095,0.052510564457507486,0.2571509781072867,,,,1
2015-01-29,165.51646277051452,167.1024059669704,164.11223080965064,166.84634399414062,173585400,0.009243145311016443,-0.019941862153502465,,,167.44772338867188,,,,,167.80561513965708,168.50938448168392,-0.0035914456306781473,,,,,-0.004176440049268204,0.005625536521934427,,,41.39895274001604,0.010342978257579398,,,2.6184556868786433,0.01569381518465037,0.017921730172431975,0.9143655604531019,0.03009299507519536,,,,0
2015-01-30,165.67346483912053,166.99507832706456,164.48400387719852,164.74832153320312,197729700,-0.012574578565600292,-0.026930730225582455,,,167.48324279785157,167.335791015625,,,,167.5144443199948,168.36189181703764,-0.01632952180147018,-0.015462737927836812,,,,-0.005033487613478438,0.002160638326705433,,,39.839061743573374,0.01074963700773216,,,2.626125203633959,0.015940224332450598,0.015241881838292146,0.10526078026617122,0.1390917669343159,159175300.0,1.2422134589977214,,1
2015-02-02,165.24391853956578,166.87942090257002,163.4349478846863,166.78855895996094,163107000,0.01238396487302973,-0.01718200977202422,-0.017086120037436592,,167.50719757080077,167.19082565307616,,,,167.44531238094393,168.30019248930915,-0.004290195414057285,-0.002406033294852783,,,,-0.005079495725588856,0.001438301721051305,,,48.509603453516995,0.010654735989452019,0.011050239131699136,,2.714036023403945,0.016272315321433247,0.020651734383715127,0.9736209448844726,-0.17510116082712912,161257355.0,1.0114701434858584,0.34282131857583065,1
2015-02-03,167.68068495307872,169.20881446344757,167.3089815220046,169.20054626464844,124212900,0.014461347467283447,0.01035795014290608,0.015467463993241726,,167.73683319091796,167.3196876525879,,,,167.61247751272532,168.33550048049892,0.008726247216462424,0.011241107597366629,,,,-0.0042951306510498055,0.013758529371243,,,55.14180272469362,0.011577223336705631,0.010766387615580589,,2.593676797994399,0.015329009599872098,0.01122829082638676,0.9956479332395946,-0.23845757692802882,158986370.0,0.781280181439453,-0.2677533681615444,0
2015-02-04,168.4405568129497,169.64654124823144,168.10188848340294,168.5561981201172,134306700,-0.0038081918690937577,0.0195859464465582,0.021218682447045945,,167.81777954101562,167.49479904174805,,,,167.70235566581027,168.34415528989572,0.0044001212572419846,0.006336907679769688,,,,-0.0038124259376884906,0.004825509735342459,,,56.060535027425914,0.011608203480933926,0.010556556696785058,,2.496920591627494,0.014813579206669864,0.009164022338281157,0.29411764686839925,0.08126209113546179,155244135.0,0.8651321996802005,-0.35784938566033986,1
2015-02-05,169.21697989161538,170.40644032042204,169.1426417658037,170.25775146484375,97953200,0.010094872592664839,0.020446402294694188,0.018832306938653343,,167.81942749023438,167.65215301513672,,,,167.94572669428965,168.41919827714858,0.014529449963421426,0.015541693935011924,,,,-0.002811268475935824,9.680080509588684e-05,,,63.33573902000652,0.011037384652473644,0.010435144470114711,,2.4444084358493177,0.014357105123369726,0.007422854723177211,0.8823476606162637,-0.27067525298440065,153874460.0,0.6365786758894231,-0.2185418523184096,0
2015-02-06,170.62127129310568,171.18296677943948,169.26661025471967,169.78700256347656,125672000,-0.0027649190554732694,0.03058411147003981,-0.0016996071721915307,,167.86733703613282,167.63769989013673,,,,168.1210863008789,168.47283766092616,0.01143561077001265,0.012821117652821457,,,,-0.0020878817317436793,0.0028297287892684597,,,57.97407622015147,0.010918442295248606,0.009681989576588265,,2.388357749291294,0.014066787876759782,0.011286826999630713,0.2715529713665511,0.28298003536382677,152797170.0,0.8224759660142921,-0.14635322630823178,0
2015-02-09,169.14272569388106,169.86135314121785,168.62233334707244,169.02708435058594,87219000,-0.004475714874620729,0.01342133659876743,0.0018605766756654152,,167.7996032714844,167.6533950805664,,,,168.2073718294224,168.49457282522656,0.007315160794007403,0.008193626316719715,,,,-0.0017045118485925492,-0.003991278709850388,,,55.12578861970735,0.010991894468017262,0.009560215387200786,,2.326406610467452,0.013763513814402417,0.007330303299650516,0.3266703285123837,-0.3059790565917627,149229755.0,0.5844611887220481,-0.4499559493035449,1
2015-02-10,170.05954231341522,171.08379025750745,169.068316736097,170.82772827148438,96164200,0.01065299048265933,0.009616883885769756,0.020527845871514128,,168.13578186035156,167.82520446777343,,,,168.4569295858093,168.5860691172367,0.016010550409600866,0.017890779953064317,,,,-0.0007660154371212924,0.020074445232494575,,,57.110178969341675,0.010469630093060915,0.009642421578759677,,2.3128315650098323,0.01353897044942384,0.011798280886855835,0.8729519469366055,0.10256022196998371,146818160.0,0.6549884564688728,-0.33402494942730443,1
2015-02-11,170.6625317819855,171.35637961746548,170.01824270561735,170.92684936523438,91087800,0.0005802400743306624,0.014064456077893972,0.02400050167684209,,168.69663848876954,168.02551345825196,,,,168.69216004099263,168.67786442107976,0.013220244910886692,0.017267234286436395,,,,8.475101319271872e-05,0.033925868207993926,,,51.77881135968809,0.009127246386875046,0.00960043779457435,,2.1765395726957877,0.012733748856769629,0.0078287110352617,0.6790087403561118,-0.052788875693865256,140644885.0,0.6476438869426357,-0.5754537450600853,1
2015-02-12,171.71985574390754,172.6284751578654,170.9599252358515,172.57064819335938,97545900,0.009616972606875551,0.013584677987440674,0.040127380216850916,,169.2690689086914,168.35839614868163,,,,169.06153986502756,168.830522608228,0.019504917856250303,0.02501955436162384,,,,0.0013683382200719851,0.03430883807331009,,,58.164570543597044,0.009154655954448119,0.00961488059167074,,2.221972560494937,0.01287572703560396,0.00966879327094117,0.9653429815263894,0.07089972531996591,135872625.0,0.7179216564042977,-0.49455752104630735,1
2015-02-13,172.69449806707414,173.33051883320448,172.43842351780003,173.2809600830078,93670400,0.004116064331244562,0.020578474599226126,0.054064502451718344,,170.12233276367186,168.80278778076172,,,,169.4633894095971,169.0050495680233,0.018566799949327084,0.026529018632454493,,,,0.002711989036690454,0.051791960430292105,,,58.811424567270606,0.00723555994437267,0.009254394462799284,,2.184802538847456,0.012608439714327858,0.0051482593066029935,0.9444467981331734,-0.03973001428045664,131725450.0,0.7111032833822166,-0.46963177869918504,1
2015-02-17,172.96709889458353,173.72704186582325,172.7193051039149,173.55357360839844,76968200,0.0015732457002779476,0.026779668330691564,0.04205706372064166,,170.79883422851563,169.15301589965821,,,,169.8529307618639,169.18342305980275,0.01612856078512337,0.026015248296552107,,,,0.003957289017757271,0.04056042387212844,0.022781283563643395,,66.60653290720782,0.006819635086252633,0.008923215842358716,,2.0378913846137743,0.011742145910587915,0.005806488111746851,0.8278635207033801,-0.17830819554523092,124979880.0,0.615844726367156,-0.636736146377471,1
2015-02-18,173.18185657165742,173.64442174946387,172.91752641065045,173.57008361816406,80652900,9.512918358489664e-05,0.01605333849737467,0.0399384434396306,,171.23578796386718,169.48631057739257,,,,170.20694531960677,169.35544896405224,0.01363205485286434,0.02409500228578465,,,,0.005027865124878739,0.025824605475452733,0.04169151062402565,,75.47185985696306,0.005810631859137652,0.008934444841260068,,1.8313889600058286,0.010551293874091181,0.004187906830836782,0.8977320004295363,0.04787301768782437,122462970.0,0.6585901027878059,-0.38428717676239077,0
2015-02-19,172.97536146007414,173.80962993740306,172.83494078194687,173.44618225097656,91462500,-0.000713840568631996,0.014739246028919073,0.03397650419113196,,171.72478637695312,169.7712829589844,,,,170.5154440749753,169.51586987726498,0.010024154988580447,0.021646177303613845,,,,0.005896640818550125,0.029011001585208085,0.050845259262361386,,72.3062213196001,0.005507850061330147,0.008923805420597591,,1.6874256741584313,0.009728814161598131,0.0056195480511978925,0.6271142599473117,0.13402617884787782,120888960.0,0.7565827350983911,-0.2560558699296501,1
2015-02-20,173.03319335975746,174.56132239525118,172.4136836324964,174.4869842529297,140896400,0.0060007201567982005,0.011104646587542177,0.02493938297732745,,172.14770965576173,169.98356857299805,,,,170.89368599668524,169.71081553905577,0.013588763985566299,0.026493241186413163,,,,0.006969917938772996,0.024840177623038917,0.04414028241109991,,85.4481329874977,0.0050444201562273435,0.00844273734059331,,1.6614659822219124,0.009522005262085994,0.012308303521606204,0.9653861046950342,0.5404827114937816,119215980.0,1.1818583381187657,-0.19190392071394158,0
2015-02-23,174.2391769497112,174.4622039794922,173.85920543986057,174.4622039794922,74411100,-0.0001420178905813252,0.006816928391431665,0.03044333228818963,,172.61522979736327,170.24128341674805,,,,171.23354485219065,169.89714449750429,0.010699949154527877,0.024793754358696907,,,,0.007865937703891213,0.02753568497840564,0.025789277958533585,,82.73449196120549,0.004804579956923445,0.00830131924619033,,1.460273539020869,0.00837014267682026,0.0034563276507873033,0.9999999983416212,-0.4718736603632172,117060695.0,0.6356625509527344,-0.3668045760265767,1
2015-02-24,174.38784325925505,175.15604182724803,174.09047810454112,174.95779418945312,72472300,0.00284067378868591,0.008090992031216437,0.030956012404164124,,173.20830078125,170.5039520263672,,,,171.58823526526328,170.09560134816897,0.010100517124826736,0.02612163595127215,,,,0.008775264646844194,0.03508733444497003,0.03701319379671508,,79.3598077680268,0.004089109111521194,0.008304624376893437,,1.3635098403937462,0.007793364375166213,0.0060904044180682,0.8139504617281473,-0.02605525250937024,116083825.0,0.6243100621469012,-0.21234065538742108,0
2015-02-25,174.83390718824936,175.3129962204007,174.47045946703403,174.8091278076172,73061700,-0.0008497271157577035,0.007138581509120501,0.043848828724940336,,173.60644073486327,170.87111129760743,,,,171.89498693596366,170.2804455230493,0.006927663902692949,0.02304670742821413,,,,0.009481660727131525,0.023306518071852134,0.044312796554146994,,83.58554400136377,0.0034015866314973686,0.007577764857919259,,1.3133586967179005,0.00751310136484001,0.00481975262924426,0.40196269044397276,0.008132762448549213,113034680.0,0.6463653455735886,-0.45494484671519775,0
