Date,SPY_return_1d,SPY_return_5d,SPY_return_20d,SPY_return_60d,SPY_volatility_10d,SPY_volatility_20d,SPY_distance_sma20,SPY_distance_sma50,SPY_distance_sma200,SPY_daily_range,SPY_volume_ratio,SPY_volume_change,QQQ_return_1d,QQQ_return_5d,QQQ_return_20d,QQQ_return_60d,QQQ_volatility_10d,QQQ_volatility_20d,QQQ_distance_sma20,QQQ_distance_sma50,QQQ_distance_sma200,QQQ_daily_range,QQQ_volume_ratio,QQQ_volume_change,IWM_return_1d,IWM_return_5d,IWM_return_20d,IWM_return_60d,IWM_volatility_10d,IWM_volatility_20d,IWM_distance_sma20,IWM_distance_sma50,IWM_distance_sma200,IWM_daily_range,IWM_volume_ratio,IWM_volume_change,DIA_return_1d,DIA_return_5d,DIA_return_20d,DIA_return_60d,DIA_volatility_10d,DIA_volatility_20d,DIA_distance_sma20,DIA_distance_sma50,DIA_distance_sma200,DIA_daily_range,DIA_volume_ratio,DIA_volume_change,VIX_return_1d,VIX_return_5d,VIX_return_20d,VIX_return_60d,VIX_volatility_10d,VIX_volatility_20d,VIX_distance_sma20,VIX_distance_sma50,VIX_distance_sma200,VIX_daily_range,target
2015-10-16,0.004546317516103793,0.00963581744877784,0.04001013893621663,-0.027848667592694554,0.008310138570553483,0.010600800175779447,0.03458448629194377,0.026433883662172475,-0.0048524109768701695,0.006739780038333665,0.8735813131528958,-0.14583106583908723,0.004179403917715208,0.014924996446540106,0.026293128148410005,-0.034019103172590937,0.0073398349675611145,0.01172942772877473,0.033923741044437516,0.02664524733994056,0.014522583180670123,0.007399214127222206,0.7338235584907306,-0.2943886773385286,-0.0012977858892025962,-0.002764840593881046,0.0002697874562194169,-0.0632740788859798,0.013689668264385634,0.013748839788666582,0.0234014709784518,0.007072151269345683,-0.039249812172164944,0.011869717278774315,0.8417525833735023,-0.20746105017480954,0.0037369274571315003,0.007028763330871213,0.05148784097330927,-0.024284919023454754,0.007890561176707608,0.00931461378420146,0.03451531134769459,0.03300980324561298,-0.012516158171906433,0.0066325305868223374,1.087248514317992,-0.13318183704810527,-0.062305239492885245,-0.11885244391328531,-0.3245062959196523,0.1906645397114426,0.05632123831231039,0.07516315615938735,-0.26416661392113605,-0.30732622560007816,-0.09610965739597954,0.12026580708822704,1
2015-10-19,0.0004919226427460011,0.009180048647291938,0.035172332110756876,-0.017176329660937073,0.006833534370986742,0.01057919408274806,0.03327642326928704,0.02730240476570578,-0.004384700919280227,0.006097213277015177,0.590001343857726,-0.3321362086435603,0.005734271239153266,0.01825986014917058,0.02895515189731168,-0.01886137473345073,0.006431535741487486,0.011764450954368896,0.038333364630457334,0.03278773876922925,0.020028082862671992,0.009839982672840517,0.6546713928924609,-0.12235752701071567,0.0019059129823304488,0.0006056536261533907,0.003998273384709039,-0.04612741632770767,0.011845482150147793,0.013746694292738535,0.025142686289453486,0.009678166003770583,-0.03733499322279532,0.013490120778514868,0.629802498056282,-0.2593422708813261,0.001396666468791885,0.006019641611165971,0.04427208359527923,-0.01379356188573655,0.00624188878428183,0.009217348946029581,0.033690216022783215,0.034544192953674946,-0.011059071680333599,0.0063328586311982155,0.6446897137247619,-0.41824580724708815,-0.004651205821354698,-0.07359310627352555,-0.25620655430924444,0.09024743753814879,0.05535527262476689,0.07283469432717542,-0.2582322559170751,-0.3115555935613419,-0.09955401265436303,0.0941254933577663,0
2015-10-20,-0.0012783521066399572,0.014282237184078062,0.04744460986536314,-0.012689587323564289,0.006659408413292428,0.010029039394379116,0.029549319793616524,0.026649950021221613,-0.005761904928950123,0.006351205170874573,0.6229576306860265,0.025150312516743156,-0.005149735505234232,0.019604121184194412,0.03919312590271473,-0.015763186186851685,0.006487863542776092,0.011235622219757676,0.030977927292368257,0.028078309726630613,0.014420271795517525,0.008966548511432432,0.6664177118757841,-0.015629008718766157,-0.0013835781409198278,0.013071295249672765,0.018032447502206672,-0.03946778276381202,0.011502670883409704,0.013269298286382817,0.022796988688288833,0.009238698876483209,-0.03863988926163142,0.010997612015437027,0.5284512197240684,-0.1770817050441893,-0.0006396713711658286,0.00849911895864075,0.05576934629669883,-0.007126714031219894,0.006303158943937797,0.008668977646995224,0.030218140467243915,0.034278251308961005,-0.011697177850376494,0.006685622540605796,0.5675369521255053,-0.14792789826741837,0.051401901287956964,-0.10865874748183024,-0.2981283589500845,0.009615359927070743,0.06030967742183869,0.06830962819673472,-0.20696860229516978,-0.27850258460610533,-0.05208135895985622,0.10285713559105283,0
2015-10-21,-0.006203537784263857,0.012845612104996684,0.04261390834516887,-0.03071998620705696,0.006887116318567202,0.010176667614374493,0.021027559949715613,0.02087355050364348,-0.01204830014822511,0.010601928783449939,0.8073170754864173,0.3007004595371485,-0.006100990695316111,0.015009770142773826,0.03205973887201008,-0.030130836510491643,0.0069776044585248345,0.011378829409250108,0.023059703052050073,0.022263142577015227,0.007846163628692615,0.012648744637444398,0.8495837362697964,0.2901340329079203,-0.015240673451036635,0.0075309465546629095,0.005522206317372991,-0.06211881527719554,0.011443452132774283,0.013736628441951879,0.006930383552246289,-0.005072230283508228,-0.05327488090385746,0.020488936036262572,0.8671222030718158,0.658937042773508,-0.0030804506994972503,0.014728242645801748,0.05517012135131605,-0.020751596627339497,0.006277932290459498,0.00868798546739391,0.02429439615230322,0.03129624759832583,-0.014772422021497755,0.009447137611091793,0.7883847313140153,0.4009997826559444,0.06031750875806052,-0.07376593860538017,-0.24536821526201313,0.24255961937040316,0.06386820013378476,0.07037937460203819,-0.14748068945215098,-0.23707361874872512,0.006433384373825346,0.13712579706039899,1
2015-10-22,0.0168933625319605,0.01438046110116864,0.06407437537500726,-0.021079822055750652,0.008199790895134385,0.010591244276005862,0.035040564899501137,0.038390484929675006,0.004497459454485764,0.017830987534194927,1.375436651283488,0.7141819714224114,0.020368377044360564,0.018946840460870584,0.05693651619085238,-0.014102068778240273,0.009137625970416874,0.01203940627298972,0.04097086443626763,0.04319245140606265,0.02793789190275775,0.014857395829139254,1.1960753667810307,0.4167384220008479,0.008793399516252576,-0.007354928486487333,0.016066251058873604,-0.05650977379521549,0.011424631110173345,0.0138537509814737,0.01496961277864406,0.004542543389376208,-0.04491688980845565,0.014731474843348557,0.942485961130561,0.08286186557370301,0.01936037648635147,0.02078906579903128,0.08038366512964568,-0.008269530455629837,0.008252187593088687,0.009266297608876994,0.04008512256673291,0.05106339008273908,0.004237130432629188,0.01395882379180385,1.161529159092869,0.47431654428241465,-0.1347305898732356,-0.09968844260757981,-0.3843203991470485,0.15599998474121102,0.07460541321949482,0.07331580084132998,-0.24495768624598369,-0.34036940324810394,-0.12788681231373378,0.10173012362853204,1
2015-10-23,0.010962286222778506,0.02085923981112381,0.07601794968698705,-0.010583077129422414,0.00864240995671807,0.010697089668418319,0.04253353230183232,0.04978113941466811,0.015395444673499181,0.007951394825129745,1.140596584739907,-0.17419875285644126,0.027982796702530788,0.04310028532909871,0.09580252489249363,0.008693398878051761,0.012008329364811277,0.012960447088519665,0.06511776207711262,0.07183195481852711,0.05619761450231442,0.010374163695771226,1.4692381906487348,0.24292930827725012,0.009850294369636137,0.0037255385130037233,0.0397595891960103,-0.049943011570731,0.011885803929058355,0.013578316848011291,0.022962665064574006,0.015041584433400645,-0.03544232452572926,0.011394041538283507,1.0312692332129147,0.08919924300347581,0.008981645624351442,0.026122884663162038,0.08332712418459942,0.0008644437103142444,0.008487908089632795,0.009322624360303651,0.045208359245076046,0.06011536101007153,0.013236404216423248,0.007200795529971786,1.0582699973830219,-0.10641755620769078,0.0006920573711997058,-0.03920266744920764,-0.3878069634049902,0.19208572973813576,0.0747714032295706,0.07321291934838109,-0.22591006101210576,-0.34049695315375483,-0.12661117703233826,0.13001383882996428,0
2015-10-26,-0.0024579641539436148,0.01784930127524542,0.10100562480916286,-0.01151468470510475,0.008800525713999374,0.008448030442905393,0.035033583672903656,0.0473424855618807,0.012758684797026021,0.003913031684027778,0.569751473124857,-0.5220721353786253,0.0006209227492683933,0.03779696076185046,0.12861304144277175,0.010492034509433257,0.012078162901131043,0.010432045514711708,0.059346096087482314,0.07196604013339702,0.056311899512651475,0.0070890834078412525,0.7346067878143365,-0.5125529189838802,-0.006819231061778397,-0.005015451824310735,0.062419191018077136,-0.061563128548932755,0.012085926589872887,0.011824619141962688,0.012963595625639757,0.008995979489857753,-0.041967097375516516,0.008169672008967357,0.533166061744507,-0.5075412284522994,-0.001984189265151426,0.022658549745234735,0.10208575707092549,0.0019301290280393513,0.00865216727115449,0.007757082901777789,0.03811904899595464,0.05774369358940201,0.011171774247022759,0.003351957631851981,0.549238121833948,-0.5033429719085687,0.05739971794719434,0.02069428765619441,-0.44661598167675076,0.2615511638800414,0.07647078528704045,0.061043532980956536,-0.1535182443577583,-0.3042029995620298,-0.07584814953561847,0.04905166787908258,0
2015-10-27,-0.0019324099808755157,0.017182716795286934,0.09823522653947658,-0.01008595842558413,0.008402158374709695,0.008533353219196287,0.02828265211481451,0.04562552470856729,0.010631883794826935,0.005856760300679361,0.6652567518426518,0.12852983355786374,0.0020381048431299398,0.0452950930277769,0.1368253482625117,0.01572669466648957,0.011416018666388228,0.010140140585953854,0.054767300703437716,0.07375906103644292,0.05785873541740072,0.0063671843742879345,0.9129070318314182,0.21114669341770198,-0.010950771354620747,-0.014547850059182799,0.05830917873215591,-0.06721208781543753,0.011780160468634622,0.012028570916592873,-0.0008866710329884508,-0.0007420493660904581,-0.05237161977414484,0.015553639938444315,1.0458281700362173,0.9303756198409769,-0.001988778168632299,0.021277991040406397,0.09687344379174889,0.005230043753448488,0.008573897295985115,0.00789737773445422,0.03133599285788824,0.055517820073646584,0.009088947703146388,0.005407849707657899,0.7061055933167988,0.2371506098685423,0.00915633379150016,-0.020317440941220344,-0.42489748978558994,0.22850316796778136,0.06906689356277572,0.06158320833118016,-0.11793287153391485,-0.299368829386063,-0.06620953735244761,0.07841866585972102,1
2015-10-28,0.011374647238410862,0.035174555846343214,0.09038272721382024,0.003134225202520158,0.008256286398473981,0.008049379865754581,0.035515687502459814,0.057513155116202475,0.021883091392557175,0.013256707605303262,1.1743519996267144,0.7445004094688714,0.008312554681622064,0.06045398554562631,0.12047968770552853,0.026101030534699587,0.011064140149578582,0.009382398663840287,0.05748856555685,0.08198013870707577,0.06599353871190705,0.014734260258180159,1.2264632839356953,0.3450534397349516,0.02917385702212294,0.029897928075024893,0.07252729112233669,-0.03771835811623481,0.014374320427507907,0.013119609685582711,0.02469875322014392,0.028987475735925416,-0.024767625917859415,0.027493179176834286,1.7591673888042367,0.7159275397232725,0.011442101706925278,0.036155383260086715,0.09311799765860651,0.019225151895456483,0.007759370964879232,0.007695570304114786,0.03852247314296031,0.0671666396798336,0.020496005115208105,0.0130571373315119,1.1071920398489692,0.564809096910202,-0.07128971871120071,-0.14191621143472577,-0.4151020439303651,0.1023076864389274,0.07047679162654782,0.060861010877198043,-0.15628956394497595,-0.3496355648163286,-0.13114128433396333,0.20446611075373278,0
2015-10-29,-0.0005742256841128057,0.017392944185256054,0.08692018996811002,-0.0007346121322866495,0.0074893282589554855,0.0081171500606022,0.030656116972243908,0.056736112257393945,0.021025164952744202,0.005075887321263911,0.7961685616517119,-0.3339143691959263,-0.0015786432319097043,0.03764476718251197,0.11367644776006713,0.01663213040088718,0.010903380089744464,0.00952238517379798,0.05016033877374926,0.07945726402348563,0.06363517562321985,0.005709781682965091,0.7391695665067323,-0.4099436548331553,-0.010672752490190507,0.010024533157251936,0.06293003907565153,-0.050167380654670746,0.01309866897316722,0.013458227349167575,0.01072924393146879,0.018577783667432346,-0.035186047720106584,0.013377086519517946,0.7494261123520422,-0.5841287717515211,-0.001688179119898825,0.014760031131096474,0.092147091079811,0.01727220260514506,0.007428830924109126,0.007730161731744972,0.03225445223087364,0.06477382333955162,0.01858804718362661,0.005806821568002599,0.7238450506985551,-0.35675307885963126,0.019539409243679584,0.011072653946301081,-0.3521064234598307,0.16786565862302227,0.06379197770801186,0.06018521481461855,-0.11921630054690535,-0.3365424082086437,-0.11231550508340615,0.07734429438706177,0
2015-10-30,-0.004309690181132364,0.0020238238443228695,0.06630763615672963,0.00317247072628013,0.00782613241253651,0.007916484284481835,0.022950357240705932,0.051648151652082364,0.01633234607007994,0.008175814014926347,1.1948113080061316,0.44795554843662844,-0.004480003315140313,0.004876850565152413,0.08960672976815465,0.02857132805660445,0.011366364117962977,0.009322782148124303,0.04098065740908563,0.07329624013759295,0.05815935957041418,0.006882544486848601,0.847436398339225,0.09175420357800856,-0.004574222157713859,-0.004402472165007221,0.042574222070766776,-0.0415862484241154,0.013184767351903104,0.013267797758531253,0.004043386932050419,0.014046408603640481,-0.039666059903257556,0.008236491923054628,0.8036616777287616,0.028133714956700473,-0.005017177708647513,0.000681037263569273,0.07286696338837051,0.018792138829702765,0.007905340896912047,0.007739302114766201,0.023505619455934657,0.058512536432077544,0.013290728911188765,0.007819167317471235,1.0422712651680208,0.38092618841100934,0.03148528740291523,0.04218531501161871,-0.2803247702733437,0.09440807507944537,0.061690423148720794,0.05993103281434856,-0.07511969500846871,-0.31311420163499204,-0.08232580904694675,0.09223625557206537,1
2015-11-02,0.011830771915596339,0.01637675679331818,0.06005921624479105,0.01699316654362848,0.00834014170177735,0.007437383377899765,0.03202662202838846,0.06262992139507362,0.02806336086834693,0.01164502569204687,0.8010094091967414,-0.34183063529882074,0.011294546541101624,0.01559587234073656,0.08635125300087809,0.041508801300950804,0.011552985796457348,0.009175427557002232,0.04835178802964668,0.0828633165578323,0.06938710092347655,0.011866334552909353,0.7026449185936392,-0.18464881320038828,0.020808261031059816,0.023292247354498086,0.03946338189485754,-0.015032502629169331,0.014749211918592534,0.013020173818785506,0.022945549163907897,0.03459406811364696,-0.01977369736979151,0.022507232664851003,0.9866533001386223,0.20765417381962759,0.009235547683629663,0.011930736804365072,0.06339239142401798,0.03044874282357557,0.008149034486829704,0.007074458302720721,0.02978763557760744,0.06648344810903795,0.02246339296637756,0.008758127112946575,0.6788933435696209,-0.35989276139410187,-0.0610484469093866,-0.07455855763027719,-0.2758444751511726,0.05675871962068402,0.06485583662552195,0.059677792576366906,-0.11697714931876335,-0.34678240231338375,-0.1365607284842143,0.13003534997826446,1
2015-11-03,0.0028995066728028096,0.021297313103003868,0.06678788741291042,0.007251409066699299,0.008181177457866562,0.007285050838645564,0.03167641284538791,0.06329646131730349,0.030745887393445415,0.009289131345342084,0.8905567525969909,0.10403635992711324,0.0034899644901382754,0.01706737592687091,0.09533330364312231,0.033340360489401366,0.01099154249559218,0.008935350108035235,0.0472162032255774,0.08320596843637751,0.07241371112062889,0.010520816120317881,0.6601407192767628,-0.07929422056283786,0.005180724621475896,0.03998225053379256,0.05209344714294861,-0.02119719996960301,0.014732978018093385,0.01286454642996079,0.025634261965129745,0.038470937423561447,-0.014831286518265818,0.013857198232301027,0.8414813691257531,-0.15399164817107946,0.005333134470092649,0.01935477001085162,0.06836172471199786,0.022126764271336974,0.008033052548867612,0.007066680982200156,0.031861852948376956,0.06947209508756802,0.02770843476961171,0.010051951628609609,0.709917707268501,0.02551276835076477,0.027561862461962683,-0.057679865568389777,-0.25051545114645923,0.18887984514137623,0.06301710590664644,0.06039638547940138,-0.07866806067144094,-0.3121392767952982,-0.11131213174111498,0.06327366747134304,0
