Date,SPY_return_1d,SPY_return_5d,SPY_return_20d,SPY_return_60d,SPY_volatility_10d,SPY_volatility_20d,SPY_distance_sma20,SPY_distance_sma50,SPY_distance_sma200,SPY_daily_range,SPY_volume_ratio,SPY_volume_change,QQQ_return_1d,QQQ_return_5d,QQQ_return_20d,QQQ_return_60d,QQQ_volatility_10d,QQQ_volatility_20d,QQQ_distance_sma20,QQQ_distance_sma50,QQQ_distance_sma200,QQQ_daily_range,QQQ_volume_ratio,QQQ_volume_change,IWM_return_1d,IWM_return_5d,IWM_return_20d,IWM_return_60d,IWM_volatility_10d,IWM_volatility_20d,IWM_distance_sma20,IWM_distance_sma50,IWM_distance_sma200,IWM_daily_range,IWM_volume_ratio,IWM_volume_change,DIA_return_1d,DIA_return_5d,DIA_return_20d,DIA_return_60d,DIA_volatility_10d,DIA_volatility_20d,DIA_distance_sma20,DIA_distance_sma50,DIA_distance_sma200,DIA_daily_range,DIA_volume_ratio,DIA_volume_change,VIX_return_1d,VIX_return_5d,VIX_return_20d,VIX_return_60d,VIX_volatility_10d,VIX_volatility_20d,VIX_distance_sma20,VIX_distance_sma50,VIX_distance_sma200,VIX_daily_range,next_day_return
2015-10-16,0.0045463175161037,0.0096358174487778,0.0400101389362166,-0.0278486675926945,0.0083101385705534,0.0106008001757794,0.0345844862919437,0.0264338836621724,-0.0048524109768701,0.0067397800383336,0.8735813131528958,-0.1458310658390872,0.0041794039177152,0.0149249964465401,0.02629312814841,-0.0340191031725909,0.0073398349675611,0.0117294277287747,0.0339237410444375,0.0266452473399405,0.0145225831806701,0.0073992141272222,0.7338235584907306,-0.2943886773385286,-0.0012977858892025,-0.002764840593881,0.0002697874562194,-0.0632740788859798,0.0136896682643856,0.0137488397886665,0.0234014709784518,0.0070721512693456,-0.0392498121721649,0.0118697172787743,0.8417525833735023,-0.2074610501748095,0.0037369274571315,0.0070287633308712,0.0514878409733092,-0.0242849190234547,0.0078905611767076,0.0093146137842014,0.0345153113476945,0.0330098032456129,-0.0125161581719064,0.0066325305868223,1.087248514317992,-0.1331818370481052,-0.0623052394928852,-0.1188524439132853,-0.3245062959196523,0.1906645397114426,0.0563212383123103,0.0751631561593873,-0.264166613921136,-0.3073262256000781,-0.0961096573959795,0.120265807088227,0.0004919226427460011
2015-10-19,0.000491922642746,0.0091800486472919,0.0351723321107568,-0.017176329660937,0.0068335343709867,0.010579194082748,0.033276423269287,0.0273024047657057,-0.0043847009192802,0.0060972132770151,0.590001343857726,-0.3321362086435603,0.0057342712391532,0.0182598601491705,0.0289551518973116,-0.0188613747334507,0.0064315357414874,0.0117644509543688,0.0383333646304573,0.0327877387692292,0.0200280828626719,0.0098399826728405,0.6546713928924609,-0.1223575270107156,0.0019059129823304,0.0006056536261533,0.003998273384709,-0.0461274163277076,0.0118454821501477,0.0137466942927385,0.0251426862894534,0.0096781660037705,-0.0373349932227953,0.0134901207785148,0.629802498056282,-0.2593422708813261,0.0013966664687918,0.0060196416111659,0.0442720835952792,-0.0137935618857365,0.0062418887842818,0.0092173489460295,0.0336902160227832,0.0345441929536749,-0.0110590716803335,0.0063328586311982,0.6446897137247619,-0.4182458072470881,-0.0046512058213546,-0.0735931062735255,-0.2562065543092444,0.0902474375381487,0.0553552726247668,0.0728346943271754,-0.2582322559170751,-0.3115555935613419,-0.099554012654363,0.0941254933577663,-0.0012783521066399572
2015-10-20,-0.0012783521066399,0.014282237184078,0.0474446098653631,-0.0126895873235642,0.0066594084132924,0.0100290393943791,0.0295493197936165,0.0266499500212216,-0.0057619049289501,0.0063512051708745,0.6229576306860265,0.0251503125167431,-0.0051497355052342,0.0196041211841944,0.0391931259027147,-0.0157631861868516,0.006487863542776,0.0112356222197576,0.0309779272923682,0.0280783097266306,0.0144202717955175,0.0089665485114324,0.6664177118757841,-0.0156290087187661,-0.0013835781409198,0.0130712952496727,0.0180324475022066,-0.039467782763812,0.0115026708834097,0.0132692982863828,0.0227969886882888,0.0092386988764832,-0.0386398892616314,0.010997612015437,0.5284512197240684,-0.1770817050441893,-0.0006396713711658,0.0084991189586407,0.0557693462966988,-0.0071267140312198,0.0063031589439377,0.0086689776469952,0.0302181404672439,0.034278251308961,-0.0116971778503764,0.0066856225406057,0.5675369521255053,-0.1479278982674183,0.0514019012879569,-0.1086587474818302,-0.2981283589500845,0.0096153599270707,0.0603096774218386,0.0683096281967347,-0.2069686022951697,-0.2785025846061053,-0.0520813589598562,0.1028571355910528,-0.006203537784263857
2015-10-21,-0.0062035377842638,0.0128456121049966,0.0426139083451688,-0.0307199862070569,0.0068871163185672,0.0101766676143744,0.0210275599497156,0.0208735505036434,-0.0120483001482251,0.0106019287834499,0.8073170754864173,0.3007004595371485,-0.0061009906953161,0.0150097701427738,0.03205973887201,-0.0301308365104916,0.0069776044585248,0.0113788294092501,0.02305970305205,0.0222631425770152,0.0078461636286926,0.0126487446374443,0.8495837362697964,0.2901340329079203,-0.0152406734510366,0.0075309465546629,0.0055222063173729,-0.0621188152771955,0.0114434521327742,0.0137366284419518,0.0069303835522462,-0.0050722302835082,-0.0532748809038574,0.0204889360362625,0.8671222030718158,0.658937042773508,-0.0030804506994972,0.0147282426458017,0.055170121351316,-0.0207515966273394,0.0062779322904594,0.0086879854673939,0.0242943961523032,0.0312962475983258,-0.0147724220214977,0.0094471376110917,0.7883847313140153,0.4009997826559444,0.0603175087580605,-0.0737659386053801,-0.2453682152620131,0.2425596193704031,0.0638682001337847,0.0703793746020381,-0.1474806894521509,-0.2370736187487251,0.0064333843738253,0.1371257970603989,0.0168933625319605
2015-10-22,0.0168933625319605,0.0143804611011686,0.0640743753750072,-0.0210798220557506,0.0081997908951343,0.0105912442760058,0.0350405648995011,0.038390484929675,0.0044974594544857,0.0178309875341949,1.375436651283488,0.7141819714224114,0.0203683770443605,0.0189468404608705,0.0569365161908523,-0.0141020687782402,0.0091376259704168,0.0120394062729897,0.0409708644362676,0.0431924514060626,0.0279378919027577,0.0148573958291392,1.1960753667810309,0.4167384220008479,0.0087933995162525,-0.0073549284864873,0.0160662510588736,-0.0565097737952154,0.0114246311101733,0.0138537509814737,0.014969612778644,0.0045425433893762,-0.0449168898084556,0.0147314748433485,0.942485961130561,0.082861865573703,0.0193603764863514,0.0207890657990312,0.0803836651296456,-0.0082695304556298,0.0082521875930886,0.0092662976088769,0.0400851225667329,0.051063390082739,0.0042371304326291,0.0139588237918038,1.161529159092869,0.4743165442824146,-0.1347305898732356,-0.0996884426075798,-0.3843203991470485,0.155999984741211,0.0746054132194948,0.0733158008413299,-0.2449576862459836,-0.3403694032481039,-0.1278868123137337,0.101730123628532,0.010962286222778506
2015-10-23,0.0109622862227785,0.0208592398111238,0.076017949686987,-0.0105830771294224,0.008642409956718,0.0106970896684183,0.0425335323018323,0.0497811394146681,0.0153954446734991,0.0079513948251297,1.140596584739907,-0.1741987528564412,0.0279827967025307,0.0431002853290987,0.0958025248924936,0.0086933988780517,0.0120083293648112,0.0129604470885196,0.0651177620771126,0.0718319548185271,0.0561976145023144,0.0103741636957712,1.4692381906487348,0.2429293082772501,0.0098502943696361,0.0037255385130037,0.0397595891960103,-0.049943011570731,0.0118858039290583,0.0135783168480112,0.022962665064574,0.0150415844334006,-0.0354423245257292,0.0113940415382835,1.0312692332129147,0.0891992430034758,0.0089816456243514,0.026122884663162,0.0833271241845994,0.0008644437103142,0.0084879080896327,0.0093226243603036,0.045208359245076,0.0601153610100715,0.0132364042164232,0.0072007955299717,1.058269997383022,-0.1064175562076907,0.0006920573711997,-0.0392026674492076,-0.3878069634049902,0.1920857297381357,0.0747714032295706,0.073212919348381,-0.2259100610121057,-0.3404969531537548,-0.1266111770323382,0.1300138388299642,-0.0024579641539436148
2015-10-26,-0.0024579641539436,0.0178493012752454,0.1010056248091628,-0.0115146847051047,0.0088005257139993,0.0084480304429053,0.0350335836729036,0.0473424855618807,0.012758684797026,0.0039130316840277,0.569751473124857,-0.5220721353786253,0.0006209227492683,0.0377969607618504,0.1286130414427717,0.0104920345094332,0.012078162901131,0.0104320455147117,0.0593460960874823,0.071966040133397,0.0563118995126514,0.0070890834078412,0.7346067878143365,-0.5125529189838802,-0.0068192310617783,-0.0050154518243107,0.0624191910180771,-0.0615631285489327,0.0120859265898728,0.0118246191419626,0.0129635956256397,0.0089959794898577,-0.0419670973755165,0.0081696720089673,0.533166061744507,-0.5075412284522994,-0.0019841892651514,0.0226585497452347,0.1020857570709254,0.0019301290280393,0.0086521672711544,0.0077570829017777,0.0381190489959546,0.057743693589402,0.0111717742470227,0.0033519576318519,0.549238121833948,-0.5033429719085687,0.0573997179471943,0.0206942876561944,-0.4466159816767507,0.2615511638800414,0.0764707852870404,0.0610435329809565,-0.1535182443577583,-0.3042029995620298,-0.0758481495356184,0.0490516678790825,-0.0019324099808755157
2015-10-27,-0.0019324099808755,0.0171827167952869,0.0982352265394765,-0.0100859584255841,0.0084021583747096,0.0085333532191962,0.0282826521148145,0.0456255247085672,0.0106318837948269,0.0058567603006793,0.6652567518426518,0.1285298335578637,0.0020381048431299,0.0452950930277769,0.1368253482625117,0.0157266946664895,0.0114160186663882,0.0101401405859538,0.0547673007034377,0.0737590610364429,0.0578587354174007,0.0063671843742879,0.9129070318314182,0.2111466934177019,-0.0109507713546207,-0.0145478500591827,0.0583091787321559,-0.0672120878154375,0.0117801604686346,0.0120285709165928,-0.0008866710329884,-0.0007420493660904,-0.0523716197741448,0.0155536399384443,1.0458281700362173,0.9303756198409768,-0.0019887781686322,0.0212779910404063,0.0968734437917488,0.0052300437534484,0.0085738972959851,0.0078973777344542,0.0313359928578882,0.0555178200736465,0.0090889477031463,0.0054078497076578,0.7061055933167988,0.2371506098685423,0.0091563337915001,-0.0203174409412203,-0.4248974897855899,0.2285031679677813,0.0690668935627757,0.0615832083311801,-0.1179328715339148,-0.299368829386063,-0.0662095373524476,0.078418665859721,0.011374647238410862
2015-10-28,0.0113746472384108,0.0351745558463432,0.0903827272138202,0.0031342252025201,0.0082562863984739,0.0080493798657545,0.0355156875024598,0.0575131551162024,0.0218830913925571,0.0132567076053032,1.1743519996267144,0.7445004094688714,0.008312554681622,0.0604539855456263,0.1204796877055285,0.0261010305346995,0.0110641401495785,0.0093823986638402,0.05748856555685,0.0819801387070757,0.065993538711907,0.0147342602581801,1.2264632839356953,0.3450534397349516,0.0291738570221229,0.0298979280750248,0.0725272911223366,-0.0377183581162348,0.0143743204275079,0.0131196096855827,0.0246987532201439,0.0289874757359254,-0.0247676259178594,0.0274931791768342,1.7591673888042367,0.7159275397232725,0.0114421017069252,0.0361553832600867,0.0931179976586065,0.0192251518954564,0.0077593709648792,0.0076955703041147,0.0385224731429603,0.0671666396798336,0.0204960051152081,0.0130571373315119,1.1071920398489692,0.564809096910202,-0.0712897187112007,-0.1419162114347257,-0.4151020439303651,0.1023076864389274,0.0704767916265478,0.060861010877198,-0.1562895639449759,-0.3496355648163286,-0.1311412843339633,0.2044661107537327,-0.0005742256841128057
2015-10-29,-0.0005742256841128,0.017392944185256,0.08692018996811,-0.0007346121322866,0.0074893282589554,0.0081171500606022,0.0306561169722439,0.0567361122573939,0.0210251649527442,0.0050758873212639,0.7961685616517119,-0.3339143691959263,-0.0015786432319097,0.0376447671825119,0.1136764477600671,0.0166321304008871,0.0109033800897444,0.0095223851737979,0.0501603387737492,0.0794572640234856,0.0636351756232198,0.005709781682965,0.7391695665067323,-0.4099436548331553,-0.0106727524901905,0.0100245331572519,0.0629300390756515,-0.0501673806546707,0.0130986689731672,0.0134582273491675,0.0107292439314687,0.0185777836674323,-0.0351860477201065,0.0133770865195179,0.7494261123520422,-0.5841287717515211,-0.0016881791198988,0.0147600311310964,0.092147091079811,0.017272202605145,0.0074288309241091,0.0077301617317449,0.0322544522308736,0.0647738233395516,0.0185880471836266,0.0058068215680025,0.7238450506985551,-0.3567530788596312,0.0195394092436795,0.011072653946301,-0.3521064234598307,0.1678656586230222,0.0637919777080118,0.0601852148146185,-0.1192163005469053,-0.3365424082086437,-0.1123155050834061,0.0773442943870617,-0.004309690181132364
