Date,Open,High,Low,Close,Volume
2015-01-02,170.47258874432092,170.88559529706598,168.65534982907482,169.6878662109375,121465900
2015-01-05,168.6470660413276,168.8122661140158,166.3177160273211,166.6233367919922,169632600
2015-01-06,166.92899586962346,167.44938819178975,164.26097690167924,165.053955078125,209151400
2015-01-07,166.3755665766757,167.44938618869952,165.92952502298357,167.1107177734375,125346700
2015-01-08,168.5149312956221,170.29086705779733,168.4984201081495,170.0760955810547,147217800
2015-01-09,170.48910371663968,170.50562750822505,168.10192629293343,168.7131805419922,158567300
2015-01-12,168.84534696175578,169.00229147312052,166.78856973022198,167.3915557861328,144396100
2015-01-13,168.60573013625051,169.72910805795988,165.6238233987396,166.92066955566406,214553300
2015-01-14,164.91348263853635,166.111211515272,164.0213997320499,165.9129638671875,192991100
2015-01-15,166.54899117615352,166.86286751898896,164.2774556177399,164.39309692382812,176613900
2015-01-16,164.18661346110187,166.70595572276284,164.0048895862307,166.54901123046875,211879600
2015-01-20,167.18501618298058,167.44934637710867,165.34301083199585,166.9041748046875,130991100
2015-01-21,166.4416173249317,168.22580840656576,165.97905206760984,167.74671936035156,122942700
2015-01-22,168.49836906255456,170.37340919341256,167.12718468012818,170.2412567138672,174356000
2015-01-23,169.98521597655784,170.24129060330148,169.17572673589194,169.30789184570312,117516800
2015-01-26,169.0931194349828,169.79522289212784,168.3827477816635,169.70436096191406,92009700
2015-01-27,167.655845533799,168.60575536241527,166.63985315825929,167.4658660888672,134044600
2015-01-28,168.64709973767964,168.74621728030513,165.1282883309134,165.31826782226562,168514300
2015-01-29,165.5165233191782,167.10246709579837,164.112290844623,166.84640502929688,173585400
2015-01-30,165.6734188056964,166.99503192642172,164.48395817427368,164.74827575683594,197729700
2015-02-02,165.24394877451851,166.8794514367733,163.43497778864867,166.78858947753906,163107000
2015-02-03,167.68063958790245,169.20876868484345,167.30893625739085,169.20050048828125,124212900
2015-02-04,168.44055681294967,169.64654124823144,168.10188848340294,168.5561981201172,134306700
2015-02-05,169.2170253881554,170.40648613676643,169.14268724235677,170.25779724121094,97953200
2015-02-06,170.6212406255758,171.18293601095024,169.26657983067707,169.78697204589844,125672000
2015-02-09,169.14269515542406,169.8613224730138,168.62230290257145,169.0270538330078,87219000
2015-02-10,170.0596182642784,171.08386666581345,169.0683922442656,170.8278045654297,96164200
2015-02-11,170.6625774875651,171.3564255088663,170.0182882386482,170.92689514160156,91087800
2015-02-12,171.71982537678446,172.62844463006107,170.95989500311532,172.57061767578125,97545900
2015-02-13,172.69449806707414,173.33051883320448,172.43842351780003,173.2809600830078,93670400
2015-02-17,172.9671141018099,173.72705713986363,172.7193202893553,173.5535888671875,76968200
2015-02-18,173.1819326949548,173.64449807608503,172.91760241775967,173.57015991210938,80652900
2015-02-19,172.97540711218107,173.80967580969232,172.83498639699363,173.44622802734375,91462500
2015-02-20,173.03320849141335,174.56133766054108,172.4136987099765,174.48699951171875,140896400
2015-02-23,174.23922266755932,174.46224975585938,173.85925105800962,174.46224975585938,74411100
2015-02-24,174.38784325925505,175.15604182724803,174.09047810454112,174.95779418945312,72472300
2015-02-25,174.8339377101534,175.31302682594247,174.4704899254886,174.8091583251953,73061700
2015-02-26,174.71828719907174,174.87523169819997,173.99964726116664,174.60264587402344,72697900
2015-02-27,174.50350429733115,174.76783451094943,173.95834528867053,174.00790405273438,108076000
2015-03-02,174.10705538139715,175.1643512332133,174.05749660771215,175.10653686523438,87491400
2015-03-03,174.67698803921306,175.15607714083993,173.52883035557673,174.38787841796875,110325800
2015-03-04,173.79314592999464,173.86749668575007,172.6862914344985,173.65272521972656,114497200
2015-03-05,173.9748649116038,174.12355381496485,173.3388439366605,173.84271240234375,76873000
2015-03-06,172.98361779581307,173.41314802743403,171.06727444635007,171.39767456054688,188128000
2015-03-09,171.59592352318504,172.46322698067183,171.43897905633878,172.10804748535156,89818900
2015-03-10,170.74515846303427,170.82775220341048,169.27484367841856,169.31614685058594,157121300
2015-03-11,169.57219189746775,169.74566016162228,168.83704088073142,168.91964721679688,110145700
2015-03-12,169.54738756835224,171.13333067656885,169.49782881558852,171.0672607421875,93993500
2015-03-13,170.794734369721,171.75289999879354,168.98576364127752,170.01828002929688,162410900
2015-03-16,170.74513950639326,172.380641590183,170.0430234693745,172.28977966308594,136099200
2015-03-17,171.5546219127697,172.15760780310515,170.96814720565243,171.77764892578125,94510400
2015-03-18,171.30684628378546,174.51178095757123,170.67081270488325,173.84271240234375,228808500
2015-03-19,173.4296846377479,173.85094670509045,172.6614860397028,173.04971313476562,117917300
2015-03-20,173.9964219067773,175.08332706439776,173.813886863184,174.57720947265625,177715100
2015-03-23,174.5854872808226,175.15798235498923,174.2370147705078,174.2370147705078,71784500
2015-03-24,174.11260110194763,174.56892610753695,173.1916333255744,173.2580108642578,77805300
2015-03-25,173.46543463004932,173.6977496835964,170.6776413272634,170.7191162109375,159521700
2015-03-26,170.0553560026632,171.22522364528578,169.358398223387,170.31256103515625,153067200
2015-03-27,170.1963361926901,170.87668349401707,170.0054961096926,170.70245361328125,118939000
2015-03-30,171.73129641311075,173.08371141679822,171.7147115290507,172.78501892089844,96180400
2015-03-31,171.96367717248643,172.66063503633413,171.2169519772045,171.2750244140625,126768700
2015-04-01,171.24186786965754,171.26675786924955,169.68202704069807,170.66937255859375,137303600
2015-04-02,170.60294970108774,171.73134247042432,170.4204146457377,171.28330993652344,86900900
2015-04-06,170.39551652393973,172.9509945167097,170.262774121107,172.43658447265625,114368200
2015-04-07,172.46148275849654,173.20820786869345,171.94707268970402,171.98025512695312,81236300
2015-04-08,172.20422448381984,173.00072933374554,171.81426450055042,172.5609893798828,89351900
2015-04-09,172.3950807864195,173.55665582878575,171.90556078000932,173.3243408203125,85548900
2015-04-10,173.57324239659198,174.3116749111512,173.37412249347702,174.2701873779297,72722900
2015-04-13,174.12915970810909,174.7597399003102,173.4322146474628,173.48199462890625,74436600
2015-04-14,173.28286574935842,173.99640832035578,172.66059069303114,173.81387329101562,75099900
2015-04-15,174.2785335608359,175.09992867523593,174.1955584748344,174.59381103515625,99529300
2015-04-16,174.26194181977996,175.05015452218305,174.0628092028716,174.54403686523438,68934900
2015-04-17,173.35752513560135,173.59813257219798,171.75619750508687,172.53611755371094,191113200
2015-04-20,173.4571243470922,174.4444696253035,173.37416192199962,174.1125946044922,92189500
2015-04-21,174.7928932447818,174.95053826659614,173.6064283504393,173.90512084960938,72559800
2015-04-22,174.24532765331014,174.94228541591448,173.324359960795,174.75975036621094,78264600
2015-04-23,174.36147293633184,175.8466432219657,174.24531542741792,175.19947814941406,102585900
2015-04-24,175.6143231698028,175.87152817072322,175.1579855906446,175.60601806640625,61327400
2015-04-27,176.17019970466308,176.2946496385879,174.68502963866905,174.87586975097656,79358100
2015-04-28,174.8509904598969,175.48155793071655,173.68111036857317,175.43177795410156,86863500
2015-04-29,174.5440107847622,175.30733337852325,173.90515080555448,174.7099609375,125684900
2015-04-30,174.13744681855195,174.52740684652383,172.26231664314207,172.9592742919922,161304900
2015-05-01,173.7391558878964,174.8758533722215,173.63959595008126,174.83436584472656,103399700
2015-05-04,175.25753173188116,175.91300183759805,175.14967933819705,175.33221435546875,70927200
2015-05-05,175.09160603354397,175.44838364955402,173.1832933266122,173.3243408203125,113326200
2015-05-06,173.8719263269991,174.17891126928984,171.54876384368936,172.61077880859375,135060200
2015-05-07,172.5112715607244,173.72263947585762,172.1793965303919,173.2994842529297,88244900
2015-05-08,174.96717621586973,175.78027883907203,174.8842011346324,175.58114624023438,155877300
2015-05-11,175.53963586018259,175.80513327805429,174.66844832425178,174.7431182861328,75708100
2015-05-12,173.9134587041349,174.75975644947212,173.0920509518764,174.22044372558594,119727600
2015-05-13,174.6269635497374,175.24923856234108,174.0212860823308,174.25360107421875,94667900
2015-05-14,175.26586853292397,176.16194623607984,174.99206595749692,176.0706787109375,95934000
2015-05-15,176.2615203857422,176.40256790681514,175.7802927290234,176.2615203857422,76510100
2015-05-18,176.09553949672417,177.05798191288406,176.02916197488247,176.80908203125,74549700
2015-05-19,176.92529548891795,177.19909810553395,176.46895779455798,176.7510528564453,72114600
2015-05-20,176.85056630185804,177.3732814015002,176.31126631603755,176.62655639648438,76857500
2015-05-21,176.48550322428738,177.34838570588087,176.31955308609574,177.14096069335938,64764600
2015-05-22,176.7593246131695,177.1741747121736,176.65147219637822,176.7178497314453,57433500
2015-05-26,176.22829770881899,176.65145286603982,174.4029600049852,174.81781005859375,124308600
2015-05-27,175.27412563801573,176.70950309837983,174.8675680788576,176.47718811035156,93214000
2015-05-28,176.17021111534228,176.38592856818985,175.58942361904656,176.278076171875,74974600
2015-05-29,176.2117246051281,176.2531994850872,174.91739437695398,175.18289184570312,124919600
2015-06-01,175.8465967244586,176.17847161639543,174.75138679267897,175.53961181640625,93338800
2015-06-02,175.0833224787473,176.0540700977669,174.46104739012816,175.36541748046875,91531000
2015-06-03,175.8964251361335,176.45232269634687,175.34052757592013,175.83004760742188,87820900
2015-06-04,175.12482989319332,175.78028749043622,174.02961953601317,174.34490966796875,151882800
2015-06-05,174.1955282911533,174.7182433899041,173.3907182052303,174.0461883544922,121704700
2015-06-08,173.93834636683118,174.08769898352278,172.90122113504552,172.97589111328125,89063300
2015-06-09,172.95095825195312,173.49027083493675,172.32039082500262,172.95095825195312,105034700
2015-06-10,173.71432547087372,175.40692095542522,173.65625304064022,175.02525329589844,134551300
2015-06-11,175.46498440269264,175.971102001252,175.23266937321156,175.58944702148438,73876400
2015-06-12,174.76801536778927,175.4649603607381,173.97149776140645,174.24530029296875,135382400
2015-06-15,173.1086665631017,173.78072176679095,172.4034162583637,173.49862670898438,124384200
2015-06-16,173.3492477236761,174.5274330875997,173.17501778043052,174.4444580078125,85308200
2015-06-17,174.72657775878906,175.33226807449984,173.70604996607278,174.72657775878906,126708600
2015-06-18,175.3239341446082,177.00822441202155,174.75974412764305,176.54359436035156,165867900
2015-06-19,176.30183904524156,176.37687224004762,175.3847242582681,175.75990295410156,130478700
2015-06-22,176.67698711889116,177.24392145490066,176.45187485168697,176.66030883789062,70696000
2015-06-23,176.8687638249379,177.1188871824413,176.39354089530357,176.78538513183594,68476800
2015-06-24,176.51856260613104,176.89374121005542,175.47639274978548,175.50140380859375,92307300
2015-06-25,176.00167167480106,176.12672698393885,174.89280128717357,174.96783447265625,97107400
2015-06-26,175.32636882131126,175.5681594282429,174.38425562567184,174.9345245361328,104174800
2015-06-29,173.45875114834269,174.9427999864751,171.19098855307968,171.26602172851562,202621300
2015-06-30,172.80011556467298,172.8501504100554,171.14932187749557,171.6245574951172,182925100
2015-07-01,173.19192350676775,173.44204677572495,172.21645420745284,173.0001678466797,135979900
2015-07-02,173.47547496516904,173.64221963939704,172.4249593461065,172.84182739257812,104373700
2015-07-06,171.55785267148914,173.1252676311306,171.35775146051736,172.3498992919922,117975400
2015-07-07,172.54998831500768,173.55880163478903,170.17383589953536,173.43374633789062,173820200
2015-07-08,172.09980861176086,172.38327583973646,170.29060275537043,170.5240478515625,164020100
2015-07-09,172.6166988345158,172.87516768530955,170.72412724140756,170.83250427246094,144113100
2015-07-10,172.82513914137888,173.40041904782046,170.87419984963972,172.98355102539062,129456900
2015-07-13,174.24249393444856,175.0011840376992,174.20080458943872,174.89280700683594,106069400
2015-07-14,174.85110984533196,175.95998021965312,174.79274222056702,175.6514892578125,81709600
2015-07-15,175.6931533625977,176.15171062773106,175.11787358650312,175.59310913085938,97914100
2015-07-16,176.6436688574949,177.00218200683594,176.40189097866778,177.00218200683594,106683300
2015-07-17,176.99380980423336,177.21058930613975,176.5852873062746,177.1522216796875,89030000
2015-07-20,177.37735835107748,177.735858773829,176.92714644686333,177.24395751953125,70446800
2015-07-21,177.1105134144091,177.3689822330543,176.24343366482006,176.5435791015625,77965000
2015-07-22,175.8599150166322,176.56026287200874,175.82657117675748,176.2267608642578,88667900
2015-07-23,176.36019849648346,176.4602427588005,174.87614923703148,175.23464965820312,90509100
2015-07-24,175.33469446500777,175.39304937337204,173.08360966659248,173.41709899902344,117755000
2015-07-27,172.53336273463475,173.0419423003663,171.96641553132218,172.40829467773438,132361100
2015-07-28,173.24197951304296,174.66767351979433,172.41658910232414,174.52593994140625,123544800
2015-07-29,174.65099030361242,175.95161625375798,174.5092567292299,175.7265167236328,105791300
2015-07-30,175.21793500317514,175.9349483664293,174.60096587420767,175.76820373535156,91304400
2015-07-31,176.2684392962481,176.2934503550564,175.21793666089977,175.50140380859375,103266900
2015-08-03,175.46809922643948,175.52645413611395,173.95902625052986,174.90948486328125,113965700
2015-08-04,174.83446167232952,175.29301908230389,174.0841042536832,174.5676727294922,81820800
2015-08-05,175.45974010894733,176.1767535837583,174.85944916623106,175.14292907714844,85786800
2015-08-06,175.32631450183948,175.4347042383865,173.1252522637311,173.70887756347656,116030800
2015-08-07,173.55045633576466,173.70052268121708,172.47492997282495,173.3753662109375,117858000
2015-08-10,174.48422711234036,175.64311936484467,174.48422711234036,175.55975341796875,80270700
2015-08-11,174.22583137864711,174.64269942277045,173.2170051142753,173.9757080078125,126081400
2015-08-12,172.67505252000194,174.36753547494192,171.2160146125157,174.18411254882812,172123700
2015-08-13,174.02570109250638,174.7093706772288,173.42541019141387,173.96734619140625,89383300
2015-08-14,173.77562504833537,174.6760616449859,173.63389142503914,174.6010284423828,72786500
2015-08-17,174.00906187998444,175.57647705078125,173.55050449419164,175.57647705078125,79072600
2015-08-18,175.30136197924693,175.65152964294157,174.83447176098744,175.0679168701172,71692700
2015-08-19,174.3258512052676,175.09288677233275,172.87515875699717,173.6838836669922,172946000
2015-08-20,172.17478180084714,173.6588305616013,169.99873077406508,170.05709838867188,194327900
2015-08-21,168.18955347177467,170.0321155609395,164.67953216633668,164.93798828125,346588500
2015-08-24,156.31719117881585,164.6462069534633,152.07346461980424,157.9929962158203,507244300
2015-08-25,162.93701933416563,162.9536976161637,155.84193059927358,156.1337432861328,369833100
2015-08-26,160.14401536953736,162.4034328471312,157.05084915471605,162.12831115722656,339257000
2015-08-27,164.26268936314614,166.26365090686062,162.75362906333933,166.1385955810547,274143900
2015-08-28,165.49658334975751,166.61378645112822,165.01301498010434,166.1468963623047,160414400
2015-08-31,165.17148770625636,166.0219022367195,164.2543727496975,164.8046417236328,163298800
2015-09-01,161.0111258010714,162.38679812081975,159.01849685471262,159.88558959960938,256000400
2015-09-02,162.26170577699753,162.96205372669115,160.42748901365306,162.9203643798828,160269300
2015-09-03,163.62902429870644,165.12141887676555,162.54517766608922,163.03707885742188,152087800
2015-09-04,160.78597809066974,161.62804679436817,159.75214096468508,160.56919860839844,207081000
2015-09-08,163.3622336908571,164.75457128266729,162.72025340947818,164.6044921875,116025700
2015-09-09,166.18026284486263,166.3053181540487,162.03659397647715,162.40342712402344,149347700
2015-09-10,162.21165920366735,164.42939981290357,161.9532031029294,163.2871856689453,158611100
2015-09-11,162.89530883762922,164.09589045579688,162.18662830079998,164.02919006347656,119691200
2015-09-14,164.2042918267338,164.25431394794666,162.93700962820373,163.4205780029297,79452000
2015-09-15,163.92080987050704,165.90510531161007,163.3788866438561,165.46322631835938,113806200
2015-09-16,165.76336354174293,167.08900045592938,165.4215287987995,166.89723205566406,99581600
2015-09-17,166.7638853009481,169.1567036506817,166.14691605513212,166.5220947265625,276046600
2015-09-18,164.01880987005143,166.50786789515337,163.3902568927763,163.8009033203125,223657500
2015-09-21,164.63057387627785,165.66977312973452,163.5997507243054,164.6473388671875,105726200
2015-09-22,162.4851128142571,162.97119523935484,161.37885361480554,162.51025390625,153890900
2015-09-23,162.67785382616628,163.1471712270909,161.67217185447925,162.2504425048828,92790600
2015-09-24,161.03526539096694,162.1247597604628,159.70273616704816,161.663818359375,159378800
2015-09-25,163.12205844777677,163.42376437043987,160.75031715338602,161.62191772460938,155054800
2015-09-28,160.72514181152218,160.83409505669493,157.25553083417196,157.56561279296875,178515900
2015-09-29,157.78350936374622,159.01547380900044,156.6604853688763,157.6577911376953,159045600
2015-09-30,159.54344943762996,160.76703778299435,158.764050145454,160.59942626953125,163452000
2015-10-01,160.9765723137938,161.32018426471683,159.08253771523917,161.0184783935547,131079000
2015-10-02,159.040661430058,163.4489081848222,158.495907866993,163.42376708984375,211003300
2015-10-05,164.64731598970752,166.55811547378664,164.5383627458455,166.3318328857422,126320800
2015-10-06,166.19774784370665,166.7592535071073,165.09987760721134,165.76194763183594,110274500
2015-10-07,166.6922352386378,167.47164753708097,165.50217653537078,167.11965942382812,124307300
2015-10-08,166.73408101910707,168.91306888019523,166.4323752043093,168.6281280517578,153055200
2015-10-09,168.77063532913212,169.20642276618494,168.10017639559013,168.72872924804688,107069200
2015-10-12,168.80414255469205,169.08908342854323,168.3767312439153,168.88795471191406,56395600
2015-10-13,168.1588314648313,169.4243260345395,167.6559968652406,167.8236083984375,88038700
2015-10-14,167.76487912609082,168.34314958475105,166.7256803080332,167.0189971923828,99106200
2015-10-15,167.68116384176335,169.5919637486582,167.3124107390394,169.58358764648438,134142200
2015-10-16,169.98586114814174,170.37136646247572,169.2232138338629,170.3546142578125,114580100
2015-10-19,169.7092222226557,170.43833923339844,169.39914032851217,170.43833923339844,76523900
2015-10-20,170.00261102800798,170.8322926630684,169.7511873130431,170.2205047607422,78448500
2015-10-21,170.639550390483,170.79039695586204,168.9969264357949,169.16455078125,102038000
2015-10-22,170.1115694105604,172.23188703797183,169.16455831386938,172.02236938476562,174911700
2015-10-23,173.69008055517259,174.2767272443333,172.8939162778874,173.90797424316406,144442300
2015-10-26,173.73204508582398,173.79070338050738,173.1118682126474,173.48062133789062,69033000
2015-10-27,172.81014983974748,173.4806088566854,172.46653783522476,173.1453857421875,77905800
2015-10-28,173.48060264294352,175.1399787397741,172.8185325397445,175.11483764648438,135906700
2015-10-29,174.61199670168938,175.38302003999266,174.49466734125065,175.01426696777344,90525500
2015-10-30,175.20697224742298,175.5254430487926,174.10072611772168,174.25994873046875,131076900
2015-11-02,174.58687106445788,176.51442318688035,174.46115280346794,176.32167053222656,86270800
2015-11-03,175.96962854731606,177.38596945377594,175.74334597716359,176.8328399658203,95246100
2015-11-04,177.12621850842723,177.25192397763175,175.76015939934234,176.29652404785156,96224500
2015-11-05,176.3551573584658,176.8160986601643,175.23214603282946,176.12049865722656,78408700
2015-11-06,175.77686368455153,176.26294597750453,174.70413475801305,176.0282745361328,110471500
2015-11-09,175.4165194582403,175.56737878519792,173.43867273416632,174.3856964111328,131008700
2015-11-10,173.9079873730397,174.82149384506457,173.63981148972155,174.7879638671875,75874600
2015-11-11,175.0561228671268,175.1064050374801,174.03367611015133,174.10072326660156,67846000
2015-11-12,173.06156452946777,173.53088198042622,171.65361217659247,171.6703643798828,121315200
2015-11-13,171.25973163297792,171.5279075743205,169.65901372340684,169.74281311035156,153577100
2015-11-16,169.5584285031652,172.3827219761185,169.44108635756888,172.3240509033203,117645200
2015-11-17,172.63411865075938,173.51408230141928,171.70386003645876,172.1983184814453,121123700
2015-11-18,172.67603876700397,175.07292088872342,172.6341454727028,174.93045043945312,121342500
2015-11-19,174.81308872002745,175.1986067021689,174.4862417997517,174.77957153320312,88220500
2015-11-20,175.5338943203775,176.09540011887867,175.0394357081375,175.41656494140625,94011500
2015-11-23,175.47525398244713,175.9780887489496,174.75451264131016,175.2154541015625,64931200
2015-11-24,174.20970448066703,175.85232822831483,173.82419922577145,175.45005798339844,98874400
2015-11-25,175.57574276884174,175.77688426159057,175.16508368329,175.42489624023438,51980100
2015-11-27,175.51711484805486,175.8272096574253,175.0394212687719,175.62606811523438,37317800
2015-11-30,175.78529486042987,175.90262422390845,174.78798887689123,174.89694213867188,112822700
2015-12-01,175.52546763035855,176.6820088811428,175.2489028622171,176.56466674804688,97858400
2015-12-02,176.51438142859806,176.83285226890064,174.51139370825462,174.7628173828125,108441300
2015-12-03,175.01424632913574,175.28242221225327,171.59491750079425,172.31565856933594,166224200
2015-12-04,172.3156725330037,175.96966035065273,172.3156725330037,175.67633056640625,192913900
2015-12-07,175.34944691037563,175.76848206425177,173.64816520867367,174.61195373535156,102027100
2015-12-08,173.05316968576795,174.56168624677528,172.45813404692703,173.4386749267578,103372400
2015-12-09,172.8017509958119,174.88853826661926,171.11722117910855,172.08938598632812,162401500
2015-12-10,172.15639449310737,173.84091114354192,171.9217358389554,172.5335235595703,116128900
2015-12-11,170.42164670400737,171.0837167933455,168.8795872161852,169.18968200683594,211173300
2015-12-14,169.34884660105973,170.17015179291053,167.57212913215866,170.04443359375,182385200
2015-12-15,171.55307075291873,172.7347535160547,170.01939982824217,171.8296356201172,154069600
2015-12-16,172.95258061456695,174.64548636656923,171.63681676475792,174.34378051757812,197017000
2015-12-17,174.6538513489731,174.7208985098075,171.6703230255021,171.6870880126953,173092500
2015-12-18,170.94695057401952,171.08183013755726,168.4683568893084,168.6285400390625,251393500
2015-12-21,169.800340767622,170.19657911718517,168.6874978631349,170.01953125,99094300
2015-12-22,170.90474783070158,171.8574076490797,169.91837134677345,171.5623321533203,111026200
2015-12-23,172.56559014783053,173.7290146149224,172.47285322851093,173.68685913085938,110987200
2015-12-24,173.43393705200427,173.94820307781427,173.18101701464653,173.40020751953125,48539600
2015-12-28,172.7089070220809,173.0461251635995,171.93329500535015,173.0039825439453,65899900
2015-12-29,174.09995941293676,175.17907297379065,174.06624274218123,174.85028076171875,92640700
2015-12-30,174.60579258526704,174.6901035548786,173.46765881575018,173.61097717285156,63317700
2015-12-31,172.93646770885883,173.57718706907835,171.87420654296875,171.87420654296875,114877900
2016-01-04,169.02475303297206,169.4799988274123,167.42293464087555,169.47157287597656,222353500
2016-01-05,169.7918801127749,170.21340912285035,168.65375950399786,169.75816345214844,110845800
2016-01-06,167.2121593520333,168.66222047693086,166.58830452056264,167.61683654785156,152112600
2016-01-07,164.67455717559412,166.45341046435007,163.2076312994672,163.59544372558594,213436100
2016-01-08,164.5565478315544,165.1129693840645,161.513106924341,161.79974365234375,209817200
2016-01-11,162.71864708325168,163.0558780579135,160.02930242058451,161.95989990234375,187941300
2016-01-12,163.40157027544498,164.01699924906333,161.14216728137274,163.2666778564453,172330500
2016-01-13,163.93268573198264,164.27834272629687,158.81532848192018,159.1947021484375,221168900
2016-01-14,159.80166644313084,162.92940481013775,158.20828713856892,161.80813598632812,240795600
2016-01-15,157.45792698560197,159.13560396722895,156.40410461461312,158.33470153808594,324846400
2016-01-19,160.14730437901238,160.27375793421498,156.97739804546177,158.5454864501953,195244400
2016-01-20,155.99105620650136,158.07341096946286,152.61039748829143,156.5137481689453,286547800
2016-01-21,156.98589956251828,159.22842497611094,155.66229179050984,157.39056396484375,195772900
2016-01-22,159.99563892336954,160.82183264019073,159.23689142931667,160.6195068359375,168319600
2016-01-25,160.11359294935863,160.30749271059665,157.99752174755105,158.19142150878906,130371700
2016-01-26,158.84902781199466,160.62788116564204,158.51180967058326,160.34967041015625,141036800
2016-01-27,159.82700049285475,161.49625239213077,157.7024898893812,158.6045684814453,185681700
2016-01-28,160.14734498842466,160.3496707280536,157.7867794017223,159.4307403564453,143798800
2016-01-29,160.1978876241089,163.4520920768119,160.0798600165619,163.31719970703125,210529300
2016-02-01,162.31403370765022,164.04230601094588,161.73232134987288,163.2582550048828,136061600
2016-02-02,161.83345580102923,161.84188175187165,159.7932436610134,160.31594848632812,182564900
2016-02-03,161.36980602725322,161.68173350831097,157.73622650318634,161.27706909179688,205054900
2016-02-04,160.77961654673646,162.49944941735478,160.14732296923702,161.52993774414062,139531800
2016-02-05,161.01572450128157,161.58899802448906,157.82052603971346,158.45281982421875,180788300
2016-02-08,156.6148843982992,156.90994697259362,154.11100117094557,156.31980895996094,191526700
2016-02-09,154.5831537838088,157.60130371702277,154.44826138293897,156.32827758789062,184513100
2016-02-10,157.1544910391713,158.781587282469,156.06693869578498,156.1934051513672,148214100
2016-02-11,153.72319680234816,155.20698715558402,152.66937427376337,154.16159057617188,219058900
2016-02-12,155.93206008196765,157.35681772325216,155.0890018292547,157.3399658203125,127632400
2016-02-16,159.1440604941082,160.02083514418928,158.18297489934602,159.99554443359375,120250700
2016-02-17,161.15899356755773,162.98000219707777,161.0325271309253,162.6090545654297,136009500
2016-02-18,162.87884935997835,162.93786961150857,161.63112676698148,161.94305419921875,102343000
2016-02-19,161.16743240085756,162.01891654044448,160.56042947582927,161.86717224121094,114793000
2016-02-22,163.4436752219077,164.35417954418443,163.37622902795616,164.2108612060547,103640300
2016-02-23,163.5532945241324,163.82307932901813,162.01892239045185,162.136962890625,111455300
2016-02-24,160.71216217133053,163.1570254008844,159.60775817044836,162.87881469726562,150812200
2016-02-25,163.32568998512167,164.8600623516191,162.5669426183358,164.85162353515625,110728300
2016-02-26,165.71997983614435,165.81270390168882,164.3120611239384,164.4722442626953,129833700
2016-02-29,164.48903916432758,165.4332599634594,162.98839702397447,163.1822967529297,125918100
2016-03-01,164.40476411830258,167.1025604717824,163.93265361565753,167.01824951171875,141799700
2016-03-02,166.7063516447515,167.81918190324672,166.29324844973772,167.7686004638672,102415000
2016-03-03,167.59153048775184,168.44302748531464,167.0182570982276,168.42616271972656,95172200
2016-03-04,168.62003825160113,169.7497458306991,167.79384495325377,168.97412109375,129293600
2016-03-07,168.05520140505269,169.51370120479942,167.9793292621422,169.10902404785156,100219000
2016-03-08,168.03833529114226,168.54416239847214,167.10254034893043,167.26271057128906,123974900
2016-03-09,168.07213974500115,168.43464871807487,167.28808866622649,168.08900451660156,94801200
2016-03-10,168.5779422396233,169.51373746114254,166.40285029598266,168.22384643554688,156838700
2016-03-11,169.67388925834564,170.98063204544795,168.20697621851687,170.9384765625,137964500
2016-03-14,170.43270829208885,171.17459101950473,170.10391599387964,170.71934509277344,73612000
2016-03-15,169.75818029203575,170.74455672977479,169.49683433811077,170.44105529785156,93169100
2016-03-16,169.96051635333183,171.83210634515947,169.91836087595732,171.42742919921875,129303200
2016-03-17,171.34314903469127,173.02082657892635,170.94691066119776,172.51499938964844,134278500
2016-03-18,173.01495584424373,173.53187424367286,172.701419627185,173.1929168701172,138372400
2016-03-21,172.93026924792804,173.66750884443863,172.70146584782538,173.43870544433594,72926700
2016-03-22,172.667561645749,173.91325036403452,172.50656525562908,173.34548950195312,97471900
2016-03-23,172.96409173399994,173.15052214507975,172.0319396786009,172.20143127441406,81052500
2016-03-24,171.17609207919185,172.15908660234746,170.955771071062,172.12518310546875,84360900
2016-03-28,172.54038859451902,172.75224015887895,171.7777281349806,172.2268524169922,62408200
2016-03-29,171.82005216381603,173.93009795842278,171.514985457733,173.81993103027344,92922900
2016-03-30,174.81997543844136,175.30299045252028,174.2183110931032,174.58270263671875,86365300
2016-03-31,174.48946932930417,174.91317256427578,173.99797202508952,174.1589813232422,94584100
2016-04-01,173.16749404386812,175.5317520880499,172.85394489943778,175.34532165527344,114423500
2016-04-04,175.26906990288444,175.4724520968894,174.47250580602636,174.77757263183594,63497000
2016-04-05,173.43864226417537,174.7860151498737,172.77766639834624,173.03189086914062,99662200
2016-04-06,173.03191817198646,174.98095551509184,172.8539571352317,174.921630859375,91839800
2016-04-07,173.83693734939823,174.1928464631695,172.09975175353787,172.82852172851562,113859000
2016-04-08,174.00641968290486,174.4386052040037,172.7607312933758,173.2946014404297,95040600
2016-04-11,173.9301694457003,174.62504892364467,172.79464793483095,172.8878631591797,83757500
2016-04-12,173.05729110844524,174.77752461935836,172.61663627434967,174.4978790283203,115350600
2016-04-13,175.41312217712402,176.34527437534416,175.2775340518565,176.26052856445312,96336400
2016-04-14,176.31991348969476,176.76903799407202,175.9216313170734,176.26905822753906,65212900
