window,start,end,v28_return,spy_return,excess_return,v28_annualized,v28_max_dd,v28_sharpe,trades,long_days,win_rate,avg_active_return
1,2019-01-01,2019-12-31,0.7023913316535491,0.3090584595182806,0.39333287213526846,0.7080146272168497,-0.021235986111645233,6.442820371074893,89,148,0.7364864864864865,0.003922532272468255
2,2020-01-01,2020-12-31,1.4372194597941923,0.17733481166694087,1.2598846481272514,1.4446869755071514,-0.11036899100446884,4.0624454246257065,89,148,0.7297297297297297,0.006502603817544347
3,2021-01-01,2021-12-31,0.6758797590247476,0.29054005052637044,0.3853397084983772,0.6860980801214727,-0.015677662171399098,6.502633283638942,91,145,0.7172413793103448,0.00390032978712519
4,2022-01-01,2022-12-31,1.433083486271951,-0.1795926572987191,1.61267614357067,1.4586866374199676,-0.03881143276060517,5.72080456878106,106,122,0.6967213114754098,0.007837047515722536
5,2023-01-01,2023-12-29,0.6760012281638952,0.26542126084071294,0.41057996732318225,0.688670823875674,-0.024742717703238992,5.672673020678633,83,127,0.7244094488188977,0.004430548063956379
