removed_best_trades,remaining_trades,return,removed_worst_trades
1.0,101,0.3631694084185877,
3.0,99,0.23775366624765293,
5.0,97,0.1604138545070286,
10.0,92,0.03579485154073603,
,101,0.5107613758034084,1.0
,99,0.5792159724685488,3.0
,97,0.6487241641898305,5.0
,92,0.7952653383903909,10.0
