bootstrap_return,bootstrap_max_drawdown
0.3404637346800792,-0.057463635533318014
0.49288870190042,-0.10975907632439408
0.21243668698342888,-0.08607218115930304
0.3772316709638419,-0.058652929001302145
0.8653137739962227,-0.04992988850848912
0.15883527868093994,-0.06923127958906294
0.5649730307564242,-0.11487996432246295
0.2398771843725358,-0.09357342600521534
0.4779787773280628,-0.058297413355705596
0.7208558635909141,-0.039111182349332196
0.3329265359523421,-0.054884315554513785
0.46248683492515386,-0.03856035126728763
0.47448553165548857,-0.06890299511369813
0.5362292527028052,-0.046261115957008214
0.10786131507905838,-0.07473675207406039
0.39824458921626427,-0.0971710147175473
0.6582445996610453,-0.03157628991380501
0.21655442893868004,-0.04329355308121985
0.3613903851154827,-0.04427057848243188
0.1308525600972641,-0.18258073890477633
0.13998032933238158,-0.11786362810884476
0.3955082288309564,-0.07222178209932661
0.5095108791734873,-0.04632788228552365
0.39901243259998,-0.07755745430013528
0.44849066700723994,-0.05659344957531476
0.06802588469743132,-0.1124942095817536
0.356679853891245,-0.0502551427410618
0.3443990588255932,-0.06666277677891286
0.2756984280487109,-0.03352760617040307
0.4701626523132376,-0.09020885713526905
0.8535552672245068,-0.04821736245970054
0.1845566553254545,-0.1411560440470342
0.6285951144201178,-0.04176690366980662
0.7733468689341534,-0.0432846432496502
0.4896213217135932,-0.08985220808638195
0.4538426342500044,-0.14427267960494272
1.079018598549113,-0.03912087198615333
0.49209900670908113,-0.07766018208834136
0.4999562207807542,-0.04503377019344279
0.4566920753725874,-0.05017044518707092
0.44938073233847264,-0.1072988627992506
0.5792845970135687,-0.041900931864635504
0.14616561521590787,-0.1151271230518296
0.19052734154013784,-0.15007480240624527
0.3471074168507915,-0.05801635159793839
0.9955634890953002,-0.048145319458507085
0.5094546706909067,-0.05052662691778764
0.6568856092814566,-0.07304518858204045
0.8287983228036615,-0.043944629907742505
0.4246026470147337,-0.052878166021391504
0.22650626261516682,-0.11186137707515864
0.451200053453098,-0.06494210373075693
0.6546493771447808,-0.03669300364195793
0.5068446659727894,-0.042252422305706916
0.5994634348046086,-0.05250793350088323
0.38347090780702753,-0.06687594235389172
1.2855475563128063,-0.05876947674045063
0.4644498863980686,-0.08583669179042774
0.6186881859558113,-0.08371348841110238
0.16706918819762695,-0.07917725841492484
1.0368077875099808,-0.031740909936498474
0.3892638742448937,-0.09123358327669107
0.31683609242761945,-0.07184905555468502
0.36250519990129937,-0.08642698620278921
0.623630977233566,-0.027834613731558044
0.847121962185339,-0.050700469530559844
0.18100249151538073,-0.08970176530925311
0.4828902137378561,-0.05114462714700685
0.3660216943043515,-0.08382150986852088
0.4210371745370298,-0.048869439963299954
0.31259774514142413,-0.0908587603074773
0.7335012821156752,-0.046371982624303754
0.47733514941569366,-0.046883793051433864
0.5233486683569286,-0.043259349056916196
0.3951172420961204,-0.05030743978163321
0.2927629599832182,-0.11015845818519565
0.670470121268921,-0.05097804028014241
0.46992662780117356,-0.06219989141750715
0.40082405731351045,-0.07522962089132146
0.45319327957938227,-0.06120235024196152
0.25760025210269855,-0.09030682640934151
0.6732647913350005,-0.05127317910540741
0.18864835642831634,-0.06044569479471196
0.7528856530269996,-0.05931450623345813
0.6254993316697004,-0.05307916401587642
0.5788005332296196,-0.04028887090153144
0.4240787564984865,-0.07843663939639212
0.7058412680254673,-0.08202298873929148
0.3116663398724824,-0.06972412711516851
0.687476640068319,-0.05346913219677463
0.9441703285933163,-0.04522321529371254
0.40040273157850637,-0.08210771403461958
0.5497437759022625,-0.06825838559134356
