configuration,return,final,max_drawdown,sharpe,entries,exits,position_changes
baseline,0.49050279702328536,14905.027970232853,-0.05778332511757733,1.4659654626050262,102,102,204
min_hold_3,0.6073358259483503,16073.358259483504,-0.06749876000011767,1.5780281951648496,79,79,158
min_hold_5,0.5055330355109651,15055.33035510965,-0.10742648780975028,1.2267615247367645,65,65,130
min_hold_10,0.48824648618988187,14882.464861898818,-0.12449311732507728,1.1906807720087091,40,40,80
cooldown_3,0.29750181798584774,12975.018179858478,-0.06718679401600625,1.0670488865776766,67,67,134
cooldown_5,0.23153421856031242,12315.342185603124,-0.061312353127645935,1.1672855343118833,55,55,110
hold_5_cooldown_3,0.051599943484623934,10515.999434846239,-0.16653047052162262,0.24236678754524527,47,47,94
hold_10_cooldown_5,0.3371314845711584,13371.314845711584,-0.09243114424985488,1.0838259830187,35,35,70
