year,return,annualized,max_dd,sharpe,trades,win_rate
2024,0.054295717415676625,0.05448716252147445,-0.05476358592329755,0.667077000024284,79,0.6116504854368932
2025,0.3978606080913616,0.40076571066758504,-0.02899983431666686,2.436562605208633,66,0.6170212765957447
2026,0.012851490745692029,0.02132880245078206,-0.03937412245441496,0.32919220530353654,60,0.5362318840579711
