configuration,min_hold_days,return,annualized,max_dd,sharpe,trades,time_in_market,win_rate
Baseline,0,0.49050279702328536,0.1654721347286785,-0.05778332511757733,1.4659654626050262,204,0.48085758039816234,0.5955414012738853
MinHold_2D,2,0.5151014057260497,0.17281453496457333,-0.06929102830912848,1.4500163638646892,180,0.5436447166921899,0.5887323943661972
MinHold_3D,3,0.6073358259483503,0.19970949868603216,-0.06749876000011767,1.5780281951648496,158,0.5880551301684533,0.59375
MinHold_5D,5,0.5055330355109651,0.16996728130295713,-0.10742648780975028,1.2267615247367645,130,0.6845329249617151,0.5906040268456376
MinHold_10D,10,0.48824648618988187,0.16479492370232562,-0.12449311732507728,1.1906807720087091,80,0.7503828483920367,0.5714285714285714
