Date,action,daily_return,equity
2024-01-02,0,0.0,10000.0
2024-01-03,0,0.0,10000.0
2024-01-04,0,0.0,10000.0
2024-01-05,0,0.0,10000.0
2024-01-08,1,-0.0015171942610788,9979.835643360519
2024-01-09,0,0.0,9974.845725538838
2024-01-10,1,-0.0004406730105988,9965.464855202586
2024-01-11,0,0.0,9960.482122774985
2024-01-12,0,0.0,9960.482122774985
2024-01-16,0,0.0,9960.482122774985
2024-01-17,0,0.0,9960.482122774985
2024-01-18,1,0.0124662815797202,10079.609971438476
2024-01-19,0,0.0,10074.570166452757
2024-01-22,1,0.0029164788958622,10098.900461509236
2024-01-23,0,0.0,10093.851011278482
2024-01-24,0,0.0,10093.851011278482
2024-01-25,0,0.0,10093.851011278482
2024-01-26,0,0.0,10093.851011278482
2024-01-29,1,-0.0007734921111419,10081.000475401643
2024-01-30,0,0.0,10075.959975163942
2024-01-31,0,0.0,10075.959975163942
2024-02-01,1,0.0105274258742655,10176.942879966091
2024-02-02,1,-0.003641132568705,10139.887281795996
2024-02-05,0,0.0,10134.817338155099
2024-02-06,0,0.0,10134.817338155099
2024-02-07,0,0.0,10134.817338155099
2024-02-08,0,0.0,10134.817338155099
2024-02-09,1,-0.0004389554591306,10125.303420454844
2024-02-12,0,0.0,10120.240768744618
2024-02-13,1,0.0090877310731019,10207.104689848387
2024-02-14,1,0.0068996671613676,10277.530314889576
2024-02-15,0,0.0,10272.391549732132
2024-02-16,1,-0.005505569451579,10210.728266528959
2024-02-20,1,0.0009059460310576,10219.97863527623
2024-02-21,1,0.0206954238560115,10431.485424932653
2024-02-22,1,0.0006897198965358,10438.680227980652
2024-02-23,0,0.0,10433.460887866662
2024-02-26,0,0.0,10433.460887866662
2024-02-27,0,0.0,10433.460887866662
2024-02-28,0,0.0,10433.460887866662
2024-02-29,1,0.0093882688282509,10526.14731697925
2024-03-01,0,0.0,10520.884243320761
2024-03-04,0,0.0,10520.884243320761
2024-03-05,1,0.0050671289519419,10568.907823009886
2024-03-06,1,0.0099265138732331,10673.820233139915
2024-03-07,1,-0.0060023309489503,10609.752431611007
2024-03-08,1,-0.0008597399461756,10600.630803626516
2024-03-11,1,0.010757410938595,10714.666145389456
2024-03-12,0,0.0,10709.308812316762
2024-03-13,0,0.0,10709.308812316762
2024-03-14,1,-0.0068664637006802,10630.455845231567
2024-03-15,0,0.0,10625.14061730895
2024-03-18,0,0.0,10625.14061730895
2024-03-19,0,0.0,10625.14061730895
2024-03-20,0,0.0,10625.14061730895
2024-03-21,0,0.0,10625.14061730895
2024-03-22,0,0.0,10625.14061730895
2024-03-25,0,0.0,10625.14061730895
2024-03-26,0,0.0,10625.14061730895
2024-03-27,0,0.0,10625.14061730895
2024-03-28,0,0.0,10625.14061730895
2024-04-01,1,-0.0063581950893668,10552.30510846194
2024-04-02,1,0.0010985352802523,10563.897187911572
2024-04-03,1,-0.0122061500551772,10434.952673668458
2024-04-04,1,0.0104467350593271,10543.96385960689
2024-04-05,0,0.0,10538.691877677087
2024-04-08,0,0.0,10538.691877677087
2024-04-09,1,-0.0100131049418273,10427.950266531347
2024-04-10,1,0.0075469239004943,10506.649213630999
2024-04-11,0,0.0,10501.395889024185
